,id,symbol,name,categories,date
0,bitcoin,BTC,Bitcoin,Cryptocurrency,2021-05-28
1,ethereum,ETH,Ethereum,Smart Contract Platform,2021-05-28
2,tether,USDT,Tether,"USD Stablecoin,Stablecoins",2021-05-28
3,binancecoin,BNB,Binance Coin,"Centralized Exchange Token (CEX),Binance Smart Chain Ecosystem,Exchange-based Tokens",2021-05-28
4,cardano,ADA,Cardano,Smart Contract Platform,2021-05-28
5,dogecoin,DOGE,Dogecoin,"Meme Tokens,Cryptocurrency",2021-05-28
6,ripple,XRP,XRP,Cryptocurrency,2021-05-28
7,polkadot,DOT,Polkadot,Polkadot Ecosystem,2021-05-28
8,usd-coin,USDC,USD Coin,"USD Stablecoin,Stablecoins",2021-05-28
9,internet-computer,ICP,Internet Computer,Smart Contract Platform,2021-05-28
10,uniswap,UNI,Uniswap,"Decentralized Exchange Token (DEX),Automated Market Maker (AMM),Yield Farming,Decentralized Finance (DeFi),Governance,Exchange-based Tokens",2021-05-28
11,bitcoin-cash,BCH,Bitcoin Cash,Cryptocurrency,2021-05-28
12,chainlink,LINK,Chainlink,"Solana Ecosystem,Near Protocol Ecosystem,Polygon Ecosystem,xDAI Ecosystem,Business Services,Infrastructure,Smart Contract Platform,Polkadot Ecosystem,Decentralized Finance (DeFi),Oracle",2021-05-28
13,litecoin,LTC,Litecoin,Cryptocurrency,2021-05-28
14,matic-network,MATIC,Polygon,Polygon Ecosystem,2021-05-28
15,ethereum-classic,ETC,Ethereum Classic,Smart Contract Platform,2021-05-28
16,stellar,XLM,Stellar,"Cryptocurrency,Smart Contract Platform",2021-05-28
17,binance-usd,BUSD,Binance USD,"USD Stablecoin,Binance Smart Chain Ecosystem,Stablecoins",2021-05-28
18,solana,SOL,Solana,"Solana Ecosystem,Smart Contract Platform",2021-05-28
19,theta-token,THETA,Theta Network,"Entertainment,Non-Fungible Tokens (NFT)",2021-05-28
20,vechain,VET,VeChain,"Internet of Things (IOT),Artificial Intelligence,Business Platform",2021-05-28
21,wrapped-bitcoin,WBTC,Wrapped Bitcoin,"Wrapped-Tokens,Tokenized BTC",2021-05-28
22,eos,EOS,EOS,Smart Contract Platform,2021-05-28
23,tron,TRX,TRON,Smart Contract Platform,2021-05-28
24,filecoin,FIL,Filecoin,"Infrastructure,Storage",2021-05-28
25,dai,DAI,Dai,"USD Stablecoin,Decentralized Finance (DeFi),Stablecoins",2021-05-28
26,aave,AAVE,Aave,"Lending/Borrowing,Near Protocol Ecosystem,Polygon Ecosystem,Yield Farming,Decentralized Finance (DeFi),Governance",2021-05-28
27,monero,XMR,Monero,Privacy Coins,2021-05-28
28,shiba-inu,SHIB,Shiba Inu,Meme Tokens,2021-05-28
29,neo,NEO,NEO,Smart Contract Platform,2021-05-28
30,okb,OKB,OKB,"Centralized Exchange Token (CEX),Exchange-based Tokens",2021-05-28
31,klay-token,KLAY,Klaytn,,2021-05-28
32,compound-ether,CETH,cETH,"Finance / Banking,Decentralized Finance (DeFi),Compound Tokens,Asset-backed Tokens",2021-05-28
33,compound-usd-coin,CUSDC,cUSDC,"Finance / Banking,Decentralized Finance (DeFi),Compound Tokens,Asset-backed Tokens",2021-05-28
34,bitcoin-cash-sv,BSV,Bitcoin SV,,2021-05-28
35,cosmos,ATOM,Cosmos,"Cosmos Ecosystem,Cryptocurrency",2021-05-28
36,crypto-com-chain,CRO,Crypto.com Coin,"Cosmos Ecosystem,Centralized Exchange Token (CEX),Exchange-based Tokens",2021-05-28
37,maker,MKR,Maker,"Lending/Borrowing,Near Protocol Ecosystem,Decentralized Finance (DeFi),Governance",2021-05-28
38,cdai,CDAI,cDAI,"Decentralized Finance (DeFi),Compound Tokens,Asset-backed Tokens",2021-05-28
39,thorchain,RUNE,THORChain,"Cosmos Ecosystem,Decentralized Exchange Token (DEX),Infrastructure,Decentralized Finance (DeFi),Exchange-based Tokens",2021-05-28
40,iota,MIOTA,IOTA,"Internet of Things (IOT),Smart Contract Platform",2021-05-28
41,tezos,XTZ,Tezos,Smart Contract Platform,2021-05-28
42,ftx-token,FTT,FTX Token,"Centralized Exchange Token (CEX),Exchange-based Tokens",2021-05-28
43,pancakeswap-token,CAKE,PancakeSwap,"Decentralized Exchange Token (DEX),Automated Market Maker (AMM),Yield Farming,Binance Smart Chain Ecosystem,Decentralized Finance (DeFi),Governance,Exchange-based Tokens",2021-05-28
44,celsius-degree-token,CEL,Celsius Network,Business Services,2021-05-28
45,algorand,ALGO,Algorand,"Cryptocurrency,Smart Contract Platform",2021-05-28
46,kusama,KSM,Kusama,Polkadot Ecosystem,2021-05-28
47,huobi-token,HT,Huobi Token,"Centralized Exchange Token (CEX),Exchange-based Tokens",2021-05-28
48,bittorrent-2,BTT,BitTorrent,"Protocol,Storage",2021-05-28
49,safemoon,SAFEMOON,SafeMoon,,2021-05-28
50,terra-luna,LUNA,Terra,"Cosmos Ecosystem,Terra Ecosystem,Decentralized Finance (DeFi)",2021-05-28
51,avalanche-2,AVAX,Avalanche,"Avalanche Ecosystem,Smart Contract Platform",2021-05-28
52,compound-governance-token,COMP,Compound,"Lending/Borrowing,Yield Farming,Decentralized Finance (DeFi),Governance",2021-05-28
53,terrausd,UST,TerraUSD,"Seigniorage,Terra Ecosystem,USD Stablecoin,Stablecoins",2021-05-28
54,hedera-hashgraph,HBAR,Hedera Hashgraph,Protocol,2021-05-28
55,leo-token,LEO,LEO Token,"Centralized Exchange Token (CEX),Exchange-based Tokens",2021-05-28
56,sushi,SUSHI,Sushi,"Yearn Ecosystem,Decentralized Exchange Token (DEX),Polygon Ecosystem,xDAI Ecosystem,Automated Market Maker (AMM),Yield Farming,Decentralized Finance (DeFi),Governance,Exchange-based Tokens",2021-05-28
57,havven,SNX,Synthetix Network Token,"Derivatives,Decentralized Exchange Token (DEX),Synthetic Issuer,Yield Farming,Decentralized Finance (DeFi),Governance,Exchange-based Tokens",2021-05-28
58,dash,DASH,Dash,"Cryptocurrency,Masternodes,Privacy Coins",2021-05-28
59,elrond-erd-2,EGLD,Elrond,"Protocol,Smart Contract Platform",2021-05-28
60,decred,DCR,Decred,"Cryptocurrency,Governance,Privacy Coins",2021-05-28
61,theta-fuel,TFUEL,Theta Fuel,,2021-05-28
62,nem,XEM,NEM,Smart Contract Platform,2021-05-28
