cmc_id,name,current_name,symbol,name_in_coingecko
3756.0,#MetaHash,#MetaHash,MHC,#MetaHash
2882.0,0Chain,0Chain,ZCN,0chain
1896.0,0x,0x,ZRX,0x
2837.0,0xBitcoin,0xBitcoin,0xBTC,0xBitcoin
2920.0,0xcert,0xcert,ZXC,0xcert
8685.0,10x.gg,10x.gg,XGG,10x.gg
4222.0,1Million Token,1Million Token,1MT,1Million Token
2601.0,1World,1World,1WO,1World
8104.0,1inch,1inch,1INCH,1inch
5587.0,2key.network,2key.network,2KEY,2key.network
93.0,42-coin,42-coin,42,42-coin
5409.0,4THPILLAR TECHNOLOGIES,4THPILLAR TECHNOLOGIES,FOUR,4thpillar technologies
7742.0,88mph,88mph,MPH,88mph
9046.0,8PAY,8PAY,8PAY,8Pay
3238.0,ABCC Token,ABCC Token,AT,ABCC Token
8538.0,AC Milan Fan Token,AC Milan Fan Token,ACM,AC Milan Fan Token
7854.0,ACDX Exchange Token,ACDX Exchange Governance Token,ACXT,ACDX Exchange Token
7382.0,ACoconut,ACoconut,AC,ACoconut
7844.0,ACryptoS,ACryptoS,ACS,ACryptoS
3703.0,ADAMANT Messenger,ADAMANT Messenger,ADM,ADAMANT Messenger
6404.0,AGA Token,AGA Token,AGA,AGA Token
2357.0,AI Doctor,AI Doctor,AIDOC,AI Doctor
2407.0,AICHAIN,AICHAIN,AIT,AICHAIN
9104.0,AIOZ Network,AIOZ Network,AIOZ,AIOZ Network
7737.0,API3,API3,API3,API3
7227.0,APY.Finance,APY.Finance,APY,APY.Finance
8419.0,APYSwap,APYSwap,APYS,APYSwap
8309.0,ARMOR,ARMOR,ARMOR,ARMOR
4039.0,ARPA Chain,ARPA Chain,ARPA,ARPA Chain
8280.0,ARTH,ARTH,ARTH,ARTH
5229.0,AS Roma Fan Token,AS Roma Fan Token,ASR,AS Roma Fan Token
5833.0,ASKO,ASKO,ASKO,Asko
8888.0,ASSY Index,ASSY Index,ASSY,ASSY Index
2380.0,ATN,ATN,ATN,ATN
6216.0,AXEL,AXEL,AXEL,AXEL
7278.0,Aave,Aave,AAVE,Aave
7046.0,Aavegotchi,Aavegotchi,GHST,Aavegotchi
2847.0,Abyss,Abyss,ABYSS,Abyss
1918.0,Achain,Achain,ACT,Achain
3386.0,Actinium,Actinium,ACM,Actinium
8044.0,Adappter Token,Adappter Token,ADP,Adappter Token
1883.0,Adshares,Adshares,ADS,Adshares
3637.0,Aergo,Aergo,AERGO,Aergo
1700.0,Aeternity,Aeternity,AE,Aeternity
1949.0,Agrello,Agrello,DLT,Agrello
2462.0,AidCoin,AidCoin,AID,AidCoin
1706.0,Aidos Kuneen,Aidos Kuneen,ADK,Aidos Kuneen
2062.0,Aion,Aion,AION,Aion
2058.0,AirSwap,AirSwap,AST,AirSwap
3156.0,Airbloc,Airbloc,ABL,Airbloc
7255.0,Aitra,Aitra,AITRA,AITRA
7431.0,Akash Network,Akash Network,AKT,Akash Network
4134.0,Akropolis,Akropolis,AKRO,Akropolis
9131.0,Alchemist,Alchemist,MIST,Alchemist
8613.0,Alchemix,Alchemix,ALCX,Alchemix
6958.0,Alchemy Pay,Alchemy Pay,ACH,Alchemy Pay
5821.0,Aleph.im,Aleph.im,ALEPH,Aleph.im
4030.0,Algorand,Algorand,ALGO,Algorand
1505.0,Alias,Alias,ALIAS,Alias
9119.0,Alien Worlds,Alien Worlds,TLM,Alien Worlds
2473.0,All Sports,All Sports,SOC,All Sports
8882.0,Alliance Fan Token,Alliance Fan Token,ALL,Alliance Fan Token
6957.0,AllianceBlock,AllianceBlock,ALBT,AllianceBlock
7618.0,Alpaca City,Alpaca City,ALPA,Alpaca City
8707.0,Alpaca Finance,Alpaca Finance,ALPACA,Alpaca Finance
7460.0,Alpha Quark Token,Alpha Quark Token,AQT,Alpha Quark Token
2525.0,Alphacat,Alphacat,ACAT,Alphacat
2081.0,Ambrosus,Ambrosus,AMB,Ambrosus
2705.0,Amon,Amon,AMN,Amon
3716.0,Amoveo,Amoveo,VEO,Amoveo
6945.0,Amp,Amp,AMP,Amp
4056.0,Ampleforth,Ampleforth,AMPL,Ampleforth
9421.0,Ampleforth Governance Token,Ampleforth Governance Token,FORTH,Ampleforth Governance Token
8057.0,AnRKey X,AnRKey X,$ANRX,AnRKey X
8857.0,Anchor Protocol,Anchor Protocol,ANC,Anchor Protocol
3783.0,Ankr,Ankr,ANKR,Ankr
8603.0,AntiMatter,AntiMatter,MATTER,AntiMatter
5892.0,Anyswap,Anyswap,ANY,Anyswap
8497.0,ApeSwap Finance,ApeSwap Finance,BANANA,ApeSwap Finance
2344.0,AppCoins,AppCoins,APPC,AppCoins
1680.0,Aragon,Aragon,ANT,Aragon
5523.0,Aragon Court,Aragon Court,ANJ,Aragon Court
3179.0,Arbidex,Arbidex,ABX,Arbidex
2545.0,Arcblock,Arcblock,ABT,Arcblock
7750.0,Archer DAO Governance Token,Archer DAO Governance Token,ARCH,Archer DAO Governance Token
1320.0,Ardor,Ardor,ARDR,Ardor
8421.0,Argon,Argon,ARGON,Argon
8276.0,Arianee,Arianee,ARIA20,Arianee
1586.0,Ark,Ark,ARK,Ark
5632.0,Arweave,Arweave,AR,Arweave
1609.0,Asch,Asch,XAS,Asch
7536.0,Aspire,Aspire,ASP,Aspire
6894.0,AstroTools,AstroTools,ASTRO,AstroTools
5536.0,AtromG8,AtromG8,AG8,ATROMG8
2653.0,Auctus,Auctus,AUC,Auctus
948.0,AudioCoin,AudioCoin,ADC,AudioCoin
7455.0,Audius,Audius,AUDIO,Audius
1104.0,Augur,Augur,REP,Augur
7583.0,Auric Network,Auric Network,AUSCM,Auric Network
2874.0,Aurora,Aurora,AOA,Aurora
148.0,Auroracoin,Auroracoin,AUR,Auroracoin
7301.0,AurusDeFi,AurusDeFi,AWX,AurusDeFi
8387.0,Auto,Auto,AUTO,Auto
2151.0,Autonio,Autonio,NIOX,Autonio
3362.0,Auxilium,Auxilium,AUX,Auxilium
5805.0,Avalanche,Avalanche,AVAX,Avalanche
1948.0,Aventus,Aventus,AVT,Aventus
3898.0,Axe,Axe,AXE,Axe
6783.0,Axie Infinity,Axie Infinity,AXS,Axie Infinity
7141.0,Axioms,Axioms,AXI,Axioms
7676.0,Axion,Axion,AXN,Axion
6670.0,Axis DeFi,Axis DeFi,AXIS,Axis DeFi
7647.0,Azuki,Azuki,AZUKI,Azuki
8457.0,B20,B20,B20,B20
2572.0,BABB,BABB,BAX,BABB
5062.0,BEPRO Network,BEPRO Network,BEPRO,BEPRO Network
4534.0,BITTO,BITTO,BITTO,BITTO
2223.0,BLOCKv,BLOCKv,VEE,BLOCKv
6911.0,BNSD Finance,BNSD Finance,BNSD,BNSD Finance
3956.0,BOMB,BOMB,BOMB,BOMB
4217.0,BOSAGORA,BOSAGORA,BOA,BOSAGORA
2095.0,BOScoin,BOScoin,BOS,BOScoin
3475.0,BOX Token,BOX Token,BOX,BOX Token
9345.0,BSC Station,BSC Station,BSCS,BSC Station
8190.0,BSCEX,BSCEX,BSCX,BSCEX
8660.0,BSCPAD,BSCPAD,BSCPAD,BSCPAD
8843.0,BSCView,BSCView,BSCV,Bscview
8662.0,BSCstarter,BSCstarter,START,BSCstarter
3737.0,BTU Protocol,BTU Protocol,BTU,BTU Protocol
6956.0,BUILD Finance,BUILD Finance,BUILD,BUILD Finance
2465.0,BUX Token,BUX Token,BUX,BUX Token
1962.0,BUZZCoin,BUZZCoin,BUZZ,BuzzCoin
3142.0,BaaSid,BaaSid,BAAS,BaaSid
7859.0,Badger DAO,Badger DAO,BADGER,Badger DAO
5728.0,Balancer,Balancer,BAL,Balancer
4704.0,Banano,Banano,BAN,Banano
2592.0,Banca,Banca,BANCA,Banca
4679.0,Band Protocol,Band Protocol,BAND,Band Protocol
