missing_project,data_source,reported_on,mapped_on,cgk_symbol,cgk_name
Ankr,Debank,2021-08-08 0:00:00,NULL,ANKR,Ankr
Booster,Debank,2021-08-08 0:00:00,NULL,BOO,Booster
boringdao,DefiPlus,2021-08-08 0:00:00,NULL,BORING,BoringDAO
Bunicorn,defistation,2021-08-08 0:00:00,NULL,BUNI,Bunicorn
CherrySwap,Debank,2021-08-08 0:00:00,NULL,CHE,CherrySwap
Fleta Connect,defistation,2021-08-08 0:00:00,NULL,FLETA,FLETA
Fruits Adventures,defistation,2021-08-08 0:00:00,NULL,FRTS,Fruits
KingDeFi,defistation,2021-08-08 0:00:00,NULL,KGS,KINGSCOIN
MimoDeFi,Debank,2021-08-08 0:00:00,NULL,MIMO,MIMO Parallel Governance Token
MoonDoge Swap,defistation,2021-08-08 0:00:00,NULL,,
Pilot,Debank,2021-08-08 0:00:00,NULL,PTD,Pilot
quickswap,DefiPlus,2021-08-08 0:00:00,NULL,QUICK,Quickswap
StakeWise,Debank,2021-08-08 0:00:00,NULL,SWISE,StakeWise
SushiSwapLend,Debank,2021-08-08 0:00:00,NULL,,
The Graph,Debank,2021-08-08 0:00:00,NULL,GRT,The Graph
tranche,DefiPlus,2021-08-08 0:00:00,NULL,SLICE,Tranche Finance
