symbol,name_in_cmc,name_in_debank
DEX,DEX,DEX.AG
,,Async Art
UNI,Uniswap,Uniswap V2
DFYN,Dfyn Network,Dfyn
,,ImpossibleFinance
,,BITPIF
$KING,King Swap,SWAP KING
DEP,Depth Token,Depth
KEBAB,Kebab Token,Kebab
BREW,CafeSwap Token,CafeSwap
BANANA,ApeSwap Finance,ApeSwap
BTCST,Bitcoin Standard Hashrate Token,BTCST
WAULT,Wault Finance (OLD),Wault
PND,PandaSwap,PandaSwap
,,SmartDex
,,ComethSwap
CYC,Cyclone Protocol,Cyclone
WAD,WardenSwap,WARDEN
PIPI,Pippi Finance,Pippi Shrimp
QSD,Chemix,CHEMIX
,,BXH
ITGR,Integral,Integral
HZN,Horizon Protocol,Horizon
ICE,Popsicle Finance,Popsicle
FINIX,Definix,Definix
KNC,Kyber Network Crystal Legacy,KyberDMM
,,SteakBank
MASH,Marshmallowdefi,Marshmallow
,,Elk
,,SpookySwap
,,Fortress
BAL,Balancer,Balancer V2
KRILL,Krill,Polywhale
ADM,ADAMANT Messenger,Adamant
PANTHER,PantherSwap,PantherSwap
SPIRIT,SpiritSwap,SpiritSwap
,,Waka Swap
,,CoinSwap
FLTY,Fluity,Fluity
QI,QiDao,QiDao
UNI,Uniswap,Uniswap V2
,,ester.finance
,,JetSwap
LIQUID,LIQUID,Liquid Driver
,,KokomoSwap
,,Rabbit Finance
,,Biswap
,,SumSwap
BABY,BabySwap,BabySwap
,,Firebird Finance
,,SupremeX
DEFI,Defi,DeFi Plaza
,,AIswap
,,ApeRocket
BIFI,Beefy.Finance,Beefy
,,bVaults
,,CoinWind
,,Convex
DEFI,Defi,DeFi Saver
,,dex.blue
ELE,Elevate,Eleven
,,HUNNY
HYFI,Hyper Finance,HyFi.pro
,,IRON
,,Merlin
,,OnX
,,PolyCake
,,Polycat
,,PrivacySwap
,,Ribbon
,,SatisFinance
SOLO,Sologenic,SOLO.TOP
SWAMP,Swampy,Swamp
,,Tinlake
YFII,DFI.Money,YFII
HFI,HecoFi,HFI.one
SHIB,SHIBA INU,ShibaSwap
