Farm,Website,Network,RugDoc / Indv.,Grade
Aave,https://aave.com,ETH,,A
Armor,https://armor.fi,ETH,,A
UniSwap (Pool),uniswap.org,ETH,,A
Aave,https://aave.com,MATIC,,A
Sushi,https://app.sushi.com,MATIC,,A
Sushi (Pool),,,,A
Pangolin,https://app.pangolin.exchange/#/png,AVAX,Low Risk,B
Pancake,https://pancakeswap.finance,BSC,Least Risk,B
Wault,https://app.wault.finance,BSC,Low Risk,B
Rune,https://rune.farm,BSC,,B
Swipe,https://swipe.org,BSC,,B
Alchemix,https://app.alchemix.fi/farms,ETH,Low Risk,B
1inch,https://1inch.exchange/#/dao/farming,ETH,,B
Badger,https://app.badger.finance,ETH,,B
Convex,https://www.convexfinance.com,ETH,,B
Kyber,http://dmm.exchange/,ETH,,B
Swipe,https://swipe.org,ETH,,B
Synthetix,https://staking.synthetix.io,ETH,,B
Spooky,https://spookyswap.finance,FANTOM,Low Risk,B
Spirit,https://app.spiritswap.finance,FANTOM,Some Risk,B
Dfyn,https://exchange.dfyn.network,MATIC,,B
Kyber DMM,https://dmm.exchange,MATIC,,B
Quickswap,https://quickswap.exchange/#/quick,MATIC,,B
QuickSwap (Pool),,,,B
Pandaswap,https://pandaswap.exchange,AVAX,Low Risk,C
Avalaunch,https://farm.avalaunch.app,AVAX,,C
Gondola,https://app.gondola.finance,AVAX,,C
Andromeda,https://www.andromedadefi.com,BSC,Low Risk,C
Ant/SafeAnt Defi,https://antdefi.io,BSC,Low Risk,C
Apache,https://app.apache.finance,BSC,Low Risk,C
APWars,https://farms.apwars.farm,BSC,Low Risk,C
Autofarm,https://autofarm.network,BSC,Low Risk,C
Billhwang,https://www.billhwangdefi.co,BSC,Low Risk,C
BitBlocks,https://bitblocks.finance,BSC,Low Risk,C
Blizzard,https://blizzard.money,BSC,Low Risk,C
BorgSwap,https://farm.borgswap.exchange,BSC,Low Risk,C
Bourbon,https://bourbondefi.com,BSC,Low Risk,C
Brickchain,https://brickchain.finance,BSC,Low Risk,C
Cerberus,https://gocerberus.finance,BSC,Low Risk,C
Cheesecake,https://cheesecakeswap.com,BSC,Low Risk,C
Coinswap,https://coinswap.space,BSC,Low Risk,C
Coral,https://coralfarm.finance,BSC,Low Risk,C
Cotton Farm,https://cottonfarm.app,BSC,Low Risk,C
Cub,https://cubdefi.com,BSC,Low Risk,C
Diamond,https://app.diamondhand.fi,BSC,Low Risk,C
Dumpling,https://dumplingdefi.finance,BSC,Low Risk,C
Elephant,https://app.elephantswap.finance,BSC,Low Risk,C
Eleven,https://eleven.finance,BSC,Low Risk,C
Evodefi,https://evodefi.com,BSC,Low Risk,C
Fanatics,https://fanaticsfinance.com,BSC,Low Risk,C
Friction,https://friction.finance,BSC,Low Risk,C
Fulcrum,https://fulcrum.trade,BSC,Low Risk,C
Fullsail,https://fullsail.finance,BSC,Low Risk,C
Fusion Finance,https://fusionfinance.farm,BSC,Low Risk,C
Gator,https://gatorswap.xyz,BSC,Low Risk,C
Goose,https://www.goosedefi.com,BSC,Low Risk,C
Grizzly,https://www.grizzlyswap.com,BSC,Low Risk,C
Hyperjump,https://farm.hyperjump.fi,BSC,Low Risk,C
Iron Finance,https://iron.finance,BSC,Low Risk,C
Jaguar,https://jaguarswap.com,BSC,Low Risk,C
Jiggly,https://www.jiggly.finance,BSC,Low Risk,C
Knight,https://www.knightsdefi.com,BSC,Low Risk,C
Koala,https://koaladefi.finance,BSC,Low Risk,C
Lime,https://limeswap.io,BSC,Low Risk,C
Marmelade,https://marmelade.finance,BSC,Low Risk,C
Marshmallow,https://marshmallowdefi.com,BSC,Low Risk,C
Mdex,https://mdex.com,BSC,Low Risk,C
Mushrooms,https://mushrooms.finance,BSC,Low Risk,C
Olive,https://olive.cash,BSC,Low Risk,C
Oni,https://oni.exchange,BSC,Low Risk,C
Panther,https://pantherswap.com,BSC,Low Risk,C
Pearl Defi,https://pearldefi.com,BSC,Low Risk,C
Pepper v2,https://app.pepr.finance,BSC,Low Risk,C
Plumcake,https://plumcake.finance,BSC,Low Risk,C
Prism,https://bsc.prismfinance.net,BSC,Low Risk,C
PrivacySwap,https://privacyswap.finance,BSC,Low Risk,C
Pulsar,https://www.pulsar.farm,BSC,Low Risk,C
Qi Swap,https://qiswap.finance,BSC,Low Risk,C
Seedmoney,https://app.seedmoneyfinance.com,BSC,Low Risk,C
Selenium,https://seleniumswap.com,BSC,Low Risk,C
