,pair1,pair2,apr,tvl,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,,sil,0.0,0.0,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
1,,sil,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
2,$BASED,ETH,5.7197484,7287.4743482,ETH,5.886015374500797,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
3,$BASED,ETH,5.7197484,7287.4743482,ETH,5.886015374500797,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
4,$BASED,SUSD,14.593619280000002,8777.5670231,ETH,15.708860399950408,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
5,$BASED,SUSD,14.593619280000002,8777.5670231,ETH,15.708860399950408,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
6,$BASED,sUSD,0.130785,76.26718020000001,ETH,0.1308703262562494,FARM,Sushi,2021-07-19,Sushi,ETH,A
7,$BASED,sUSD,0.130785,76.26718020000001,ETH,0.1308703262562494,POOL,Sushi,2021-07-19,Sushi,ETH,A
8,$DG,BNB,189.89,1986849.79,BSC,564.5750208431352,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
9,$DG,ETH,59.23,592834.52,PLOYGON,80.72745643053258,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
10,$DG,ETH,9.668104079999999,841763.0143925,ETH,10.149487956182357,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
11,$DG,ETH,11.68934316,96743.5616073,ETH,12.397860622796486,FARM,Sushi,2021-07-19,Sushi,ETH,A
12,$DG,ETH,9.668104079999999,841763.0143925,ETH,10.149487956182357,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
13,$DG,ETH,11.68934316,96743.5616073,ETH,12.397860622796486,POOL,Sushi,2021-07-19,Sushi,ETH,A
14,$DG,QUICK,62.59,168041.14,PLOYGON,86.89260624843304,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
15,$ITG,USDC,1.491975,61624.0305622,ETH,1.5031295555755886,FARM,Sushi,2021-07-19,Sushi,ETH,A
16,$ITG,USDC,1.491975,61624.0305622,ETH,1.5031295555755886,POOL,Sushi,2021-07-19,Sushi,ETH,A
17,$ROPE,ETH,2.65625832,22432.4773196,ETH,2.691752059293484,FARM,Sushi,2021-07-19,Sushi,ETH,A
18,$ROPE,ETH,2.65625832,22432.4773196,ETH,2.691752059293484,POOL,Sushi,2021-07-19,Sushi,ETH,A
19,$TRDL,ETH,3.1341915599999997,52472.2613188,ETH,3.1836856771668254,FARM,Sushi,2021-07-19,Sushi,ETH,A
20,$TRDL,ETH,3.6483985199999998,3472.5983663,ETH,3.7155802987235864,FARM,Uniswap,2021-07-19,Uniswap,ETH,A
21,$TRDL,ETH,3.1341915599999997,52472.2613188,ETH,3.1836856771668254,POOL,Sushi,2021-07-19,Sushi,ETH,A
22,$TRDL,ETH,3.6483985199999998,3472.5983663,ETH,3.7155802987235864,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
23,$TRDL,MUST,0.00,5628.31,PLOYGON,0.0,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
24,$TRDL,oneVBTC,0.0,0.0,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
25,$TRDL,oneVBTC,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
26,0819,AUR,0.0,0.0,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
27,0819,AUR,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
28,0921,uPUNKS,0.0,0.0,ETH,0.0,FARM,Sushi,2021-07-19,Sushi,ETH,A
29,0921,uPUNKS,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
30,0XMON,ETH,9.703369440000001,19819.9752401,ETH,10.188329110991878,FARM,Sushi,2021-07-19,Sushi,ETH,A
31,0XMON,ETH,9.703369440000001,19819.9752401,ETH,10.188329110991878,POOL,Sushi,2021-07-19,Sushi,ETH,A
