,pair1,pair2,apr,tvl,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,,sil,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
1,$BASED,ETH,5.7197484,7287.4743482,ETH,5.886015374500797,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
2,$BASED,SUSD,14.593619280000002,8777.5670231,ETH,15.708860399950408,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
3,$BASED,sUSD,0.130785,76.26718020000001,ETH,0.1308703262562494,POOL,Sushi,2021-07-19,Sushi,ETH,A
4,$DG,BNB,189.89,1986849.79,BSC,564.5750208431352,FARM,https://pancakeswap.finance,2021-07-19,https://pancakeswap.finance,BSC,B
5,$DG,ETH,59.23,592834.52,PLOYGON,80.72745643053258,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
6,$DG,ETH,9.668104079999999,841763.0143925,ETH,10.149487956182357,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
7,$DG,ETH,11.68934316,96743.5616073,ETH,12.397860622796486,POOL,Sushi,2021-07-19,Sushi,ETH,A
8,$DG,QUICK,62.59,168041.14,PLOYGON,86.89260624843304,FARM,https://quickswap.exchange/#/quick,2021-07-19,,,
9,$ITG,USDC,1.491975,61624.0305622,ETH,1.5031295555755886,POOL,Sushi,2021-07-19,Sushi,ETH,A
10,$ROPE,ETH,2.65625832,22432.4773196,ETH,2.691752059293484,POOL,Sushi,2021-07-19,Sushi,ETH,A
11,$TRDL,ETH,3.1341915599999997,52472.2613188,ETH,3.1836856771668254,POOL,Sushi,2021-07-19,Sushi,ETH,A
12,$TRDL,ETH,3.6483985199999998,3472.5983663,ETH,3.7155802987235864,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
13,$TRDL,MUST,0.00,5628.31,PLOYGON,0.0,FARM,https://swap.cometh.io/#/stake,2021-07-19,,,
14,$TRDL,oneVBTC,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
15,0819,AUR,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
16,0921,uPUNKS,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
17,0XMON,ETH,9.703369440000001,19819.9752401,ETH,10.188329110991878,POOL,Sushi,2021-07-19,Sushi,ETH,A
18,0xBTC,ETH,0.6715669200000001,21306.9543463,ETH,0.6738207674297003,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
19,0xMR,ETH,2.20644252,4002.270682,ETH,2.230896309897834,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
20,1337,ETH,0.31713624,139818.68342359998,ETH,0.3176382668812927,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
21,1INCH,ETH,0.00,8535735.04,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-07-19,https://1inch.exchange/#/dao/farming,ETH,B
22,1INCH,ETH,6.19581168,594358.1368683,ETH,6.39121893991661,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
23,1INCH,ETH,6.124915560000001,6998.9160646,ETH,6.315831144072437,POOL,Sushi,2021-07-19,Sushi,ETH,A
24,1INCH,SUSHI,0.61528176,3011.5062674,ETH,0.6171732884739045,POOL,Sushi,2021-07-19,Sushi,ETH,A
25,1INCH,UNI,0.0,48.181847399999995,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
26,1INCH,USDC,0.26752788,1097.6247111999999,ETH,0.2678850721166359,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
27,1INCH,USDC,0.04126344,10.4943915,ETH,0.04127193119349837,POOL,Sushi,2021-07-19,Sushi,ETH,A
28,1INCH,VSP,0.00,3239651.95,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-07-19,https://1inch.exchange/#/dao/farming,ETH,B
29,1INCH,stETH,0.0,0.0,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
30,1ONE,ETH,1.45033824,236669.5841932,ETH,1.4608774409403003,POOL,Sushi,2021-07-19,Sushi,ETH,A
31,1ONE,USDC,0.01960236,110.9463018,ETH,0.019604276120133157,POOL,Sushi,2021-07-19,Sushi,ETH,A
32,1UP,ETH,0.34958736,330.1780513,ETH,0.35019744931239494,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
33,2GT,USDT,0.57959616,34303.053094200004,ETH,0.5812744398215663,POOL,Sushi,2021-07-19,Sushi,ETH,A
34,2KEY,DAI,0.59892336,7572.2355164,ETH,0.6007155486902116,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
35,2KEY,ETH,0.8868759599999999,66063.8724005,ETH,0.890809486404609,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
36,2KEY,ETH,0.0041978399999999996,12.239538600000001,ETH,0.004197927865190465,POOL,Sushi,2021-07-19,Sushi,ETH,A
37,4Belt,,0,,BSC,0.0,FARM,https://autofarm.network,2021-07-19,https://autofarm.network,BSC,C
38,69C,ETH,0.2045052,509.17299540000005,ETH,0.20471388042446748,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
39,88MPH,DAI,0.0,8166.8353414,ETH,0.0,POOL,Sushi,2021-07-19,Sushi,ETH,A
40,88MPH,UNI,11.1087438,19860.867238299998,ETH,11.747372703475989,POOL,Sushi,2021-07-19,Sushi,ETH,A
41,AAH,ETH,0.80946408,44487.4810523,ETH,0.8127400495830273,POOL,Uniswap,2021-07-19,Uniswap,ETH,A
42,AAVE,AVAX,11.74,2412377.24,AVAX,12.45479397355831,FARM,https://app.pangolin.exchange/#/png,2021-07-19,https://app.pangolin.exchange/#/png,AVAX,B
