,pair1,pair2,apr,tvl,fee,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,$ANRX,ETH,0.01,190537,0,ETH,0.010000498649831435,POOL,QuickSwap,2021-08-23,QuickSwap,ETH,B
1,$BASED,ETH,21.71612232,7955.2957611,,ETH,24.246417732542525,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
2,$BASED,ETH,0.016873199999999998,0.5927607,,ETH,0.016874619703610705,POOL,Sushi,2021-08-23,Sushi,ETH,A
3,$BASED,SUSD,21.43906008,6866.370343099999,,ETH,23.902857084190245,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
4,$DG,BNB,205.57,3092860.44,0,BSC,676.7378629282855,FARM,https://pancakeswap.finance,2021-08-23,https://pancakeswap.finance,BSC,B
5,$DG,ETH,55.03,578205.23,0,MATIC,73.30547116964767,FARM,https://quickswap.exchange/#/quick,2021-08-23,https://quickswap.exchange/#/quick,MATIC,B
6,$DG,ETH,1.55,573937,0,ETH,1.5620413817276857,POOL,QuickSwap,2021-08-23,QuickSwap,ETH,B
7,$DG,ETH,13.868760720000001,1238634.1451587,,ETH,14.873491803815163,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
8,$DG,ETH,14.343213719999998,86726.3474293,,ETH,15.419595961275267,POOL,Sushi,2021-08-23,Sushi,ETH,A
9,$DG,MATIC,94.16,306812.19,0,MATIC,156.09737307137163,FARM,https://app.sushi.com,2021-08-23,https://app.sushi.com,MATIC,A
10,$DG,QUICK,0.00,3082.67,0,MATIC,0.0,FARM,https://quickswap.exchange/#/quick,2021-08-23,https://quickswap.exchange/#/quick,MATIC,B
11,$DG,USDC,115.26,3129609.43,0,MATIC,216.06698317858485,FARM,https://dinoswap.exchange,2021-08-23,,,
12,$DG,USDC,1.22,3119525,0,ETH,1.2274517178138877,POOL,QuickSwap,2021-08-23,QuickSwap,ETH,B
13,$ITG,USDC,14.812524839999998,41936.473600699996,,ETH,15.96232875265362,POOL,Sushi,2021-08-23,Sushi,ETH,A
