seq,pair,liquidity,vol_24h,vol_7d,fee_24h,1yr_fees/liquidity
1,PNG-WAVAX,"$187,696,956","$18,878,634","$96,104,364","$56,636",+11.01%
2,WETH.e-WAVAX,"$50,915,377","$43,709,823","$211,003,366","$131,129",+94.00%
3,QI-WAVAX,"$41,292,652","$20,814,322","$61,010,881","$62,443",+55.20%
4,WAVAX-ETH,"$11,865,020","$755,529","$8,338,945","$2,267",+6.97%
5,WAVAX-XAVA,"$11,393,745","$3,847,986","$19,436,906","$11,544",+36.98%
6,WAVAX-USDT.e,"$10,504,021","$48,391,678","$182,559,790","$145,175",+504%
7,PNG-SNOB,"$5,720,850","$4,088,048","$14,000,455","$12,264",+78.25%
8,WAVAX-PEFI,"$4,816,427","$8,010,700","$26,385,969","$24,032",+182%
9,SNOB-PEFI,"$4,279,721","$1,135,683","$3,263,095","$3,407",+29.06%
10,YAK-WAVAX,"$4,105,609","$3,045,891","$18,166,902","$9,138",+81.24%
11,PNG-PEFI,"$4,020,134","$2,848,105","$8,204,768","$8,544",+77.58%
12,WAVAX-DAI.e,"$3,882,156","$7,745,668","$35,164,506","$23,237",+218%
13,WALBT-WAVAX,"$3,872,951","$290,101","$1,081,817",$870.30,+8.20%
14,WBTC.e-WAVAX,"$3,510,426","$2,484,609","$12,880,825","$7,454",+77.50%
15,DYP-WAVAX,"$2,611,230","$103,704","$941,931",$311.11,+4.35%
16,LINK.e-WAVAX,"$2,353,011","$2,174,278","$13,395,443","$6,523",+101%
17,CYCLE-WAVAX,"$1,704,755","$1,037,462","$3,633,801","$3,112",+66.64%
18,WET-WAVAX,"$1,576,121","$239,801","$719,208",$719.40,+16.66%
19,SUSHI-PEFI,"$1,538,314","$70,696","$845,500",$212.09,+5.03%
20,WETH.e-PNG,"$1,359,057","$625,872","$4,362,109","$1,878",+50.43%
21,WAVAX-USDT,"$1,259,935","$1,650,325","$12,203,315","$4,951",+143%
22,LINK-PEFI,"$1,087,514","$301,860","$1,018,981",$905.58,+30.39%
23,DAI-PEFI,"$1,025,942","$283,328","$1,025,394",$849.99,+30.24%
24,AVME-WAVAX,"$1,006,489","$246,997","$664,435",$740.99,+26.87%
25,WAVAX-LINK,"$992,415","$483,068","$3,296,183","$1,449",+53.30%
26,AVE-WAVAX,"$932,919","$838,873","$4,974,875","$2,517",+98.46%
27,VSO-WAVAX,"$907,550","$918,306","$2,655,430","$2,755",+111%
28,SPORE-WAVAX,"$848,257","$81,486","$469,498",$244.46,+10.52%
29,SUSHI.e-WAVAX,"$693,485","$194,791","$1,505,574",$584.37,+30.76%
30,SHERPA-WAVAX,"$657,459","$554,274","$2,753,041","$1,663",+92.31%
31,WAVAX-SNOB,"$590,777","$272,828","$940,192",$818.48,+50.57%
32,PNG-SPORE,"$586,447","$33,349","$166,491",$100.05,+6.23%
33,PNG-USDT.e,"$522,184","$418,518","$3,432,255","$1,256",+87.76%
34,WAVAX-GDL,"$504,617","$292,681","$1,758,400",$878.04,+63.51%
35,PNG-QI,"$465,414","$205,636","$2,228,352",$616.91,+48.38%
36,PNG-VSO,"$424,769","$142,568","$438,231",$427.70,+36.75%
37,WBTC-WAVAX,"$376,746","$123,277","$2,869,527",$369.83,+35.83%
38,PNG-SHERPA,"$362,549","$78,295","$489,258",$234.88,+23.65%
39,LINK.e-PNG,"$344,182","$75,938","$894,470",$227.81,+24.16%
40,PNG-XAVA,"$329,876","$69,571","$241,650",$208.71,+23.09%
41,HUSKY-WAVAX,"$322,341","$1,762,033","$3,746,084","$5,286",+599%
42,PNG-AAVE.e,"$282,249","$94,927","$362,747",$284.78,+36.83%
43,WAVAX-DAI,"$280,201","$337,475","$4,330,450","$1,012",+132%
44,PNG-ETH,"$250,993","$34,072","$335,686",$102.22,+14.86%
45,AVE-SHERPA,"$226,028","$55,835","$386,897",$167.50,+27.05%
46,AAVE.e-WAVAX,"$214,058","$68,799","$407,256",$206.40,+35.19%
47,DOGEHR-WAVAX,"$204,651",$38.82,$491.37,$0.12,+0.02%
48,PNG-USDT,"$202,653","$111,326","$1,212,369",$333.98,+60.15%
49,PNG-DAI.e,"$192,920","$91,503","$555,826",$274.51,+51.94%
50,WBTC.e-PNG,"$191,428","$54,295","$547,511",$162.88,+31.06%
51,UNI.e-WAVAX,"$188,702","$40,287","$339,686",$120.86,+23.38%
52,RUGPULL-WAVAX,"$182,186","$61,224","$205,476",$183.67,+36.80%
53,WAVAX-aaBLOCK,"$181,376","$13,155","$77,395",$39.47,+7.94%
54,AVE-PEFI,"$166,236","$70,729","$347,619",$212.19,+46.59%
55,TRYB-WAVAX,"$151,230","$14,565","$67,184",$43.69,+10.55%
56,SUSHI-WAVAX,"$147,684","$101,500","$1,308,655",$304.50,+75.26%
57,WAVAX-UNI,"$142,784","$2,224","$85,811",$6.67,+1.71%
58,TUNDRA-WAVAX,"$134,622","$202,228","$355,351",$606.68,+164%
