seq,pair,liquidity,vol_24h,vol_7d,fee_24h,1yr_fees/liquidity
1,USDC-WETH,"$144,516,133","$1,843,445","$101,477,802","$5,530",+1.40%
2,WMATIC-WETH,"$119,959,867","$1,122,617","$72,899,818","$3,368",+1.02%
3,WBTC-WETH,"$96,735,296","$105,751","$12,063,024",$317.25,+0.12%
4,USDC-miMATIC,"$80,769,392","$67,378","$6,780,792",$202.13,+0.09%
5,WETH-AAVE,"$46,467,060","$138,744","$7,406,933",$416.23,+0.33%
6,WETH-USDT,"$46,081,357","$494,231","$29,026,426","$1,483",+1.17%
7,USDC-USDT,"$33,886,485","$129,851","$6,309,089",$389.55,+0.42%
8,LINK-WETH,"$32,516,998","$58,147","$6,767,690",$174.44,+0.20%
9,WMATIC-USDC,"$31,640,370","$1,157,645","$74,435,494","$3,473",+4.01%
10,WETH-DAI,"$30,849,962","$387,046","$17,104,592","$1,161",+1.37%
11,WMATIC-QUICK,"$30,326,901","$540,564","$18,848,590","$1,622",+1.95%
12,USDC-DAI,"$21,633,133","$27,895","$2,694,694",$83.69,+0.14%
13,WETH-QUICK,"$18,153,951","$291,187","$15,276,810",$873.56,+1.76%
14,WETH-ADDY,"$16,157,027","$136,733","$2,973,864",$410.20,+0.93%
15,WBTC-USDC,"$15,857,399","$219,547","$10,235,927",$658.64,+1.52%
16,GHST-WETH,"$15,106,739","$181,252","$13,314,883",$543.76,+1.31%
17,polyBUNNY-WETH,"$12,071,599","$138,956","$5,125,267",$416.87,+1.26%
18,WETH-UNI,"$10,632,568","$52,051","$2,183,658",$156.15,+0.54%
19,QUICK-TEL,"$9,815,101","$144,261","$3,811,755",$432.78,+1.61%
20,USDC-QUICK,"$8,854,044","$251,715","$17,821,557",$755.14,+3.11%
21,WETH-TEL,"$7,857,881","$123,931","$6,256,039",$371.79,+1.73%
22,WETH-DINO,"$6,567,893","$30,291","$3,649,138",$90.87,+0.51%
23,USDC-GHST,"$5,677,547","$72,664","$5,664,398",$217.99,+1.40%
24,BEL-WETH,"$5,670,362","$23,968","$2,209,077",$71.90,+0.46%
25,WETH-CEL,"$5,501,372","$22,452","$2,077,389",$67.36,+0.45%
26,GHST-QUICK,"$5,351,564","$19,929","$2,270,719",$59.79,+0.41%
27,NEXO-WETH,"$5,040,314","$51,398","$493,649",$154.20,+1.12%
28,WETH-RAMP,"$5,002,203","$45,211","$1,043,685",$135.63,+0.99%
29,USDC-TEL,"$4,903,532","$86,616","$5,360,815",$259.85,+1.93%
30,DAI-USDT,"$4,120,788","$6,714","$597,201",$20.14,+0.18%
31,USDC-$DG,"$3,119,525","$34,764","$1,373,331",$104.29,+1.22%
32,WETH-BIFI,"$2,950,630","$16,668","$635,665",$50.00,+0.62%
33,WMATIC-TEL,"$2,880,628","$40,811","$1,663,657",$122.43,+1.55%
34,WETH-UBT,"$2,854,329","$82,309","$1,075,380",$246.93,+3.16%
35,GFARM2-DAI,"$2,775,230","$18,925","$2,555,157",$56.78,+0.75%
36,WETH-renDOGE,"$2,620,162","$10,479","$624,481",$31.44,+0.44%
37,USDC-rUSD,"$2,463,005","$15,187","$1,476,719",$45.56,+0.68%
38,WMATIC-SOL,"$2,296,956","$229,017","$3,409,798",$687.05,+10.92%
39,WMATIC-AVAX,"$2,234,185","$146,422","$4,780,535",$439.26,+7.18%
40,WMATIC-mOCEAN,"$2,016,503","$2,828","$644,108",$8.49,+0.15%
41,WMATIC-CYC,"$2,012,533",$22.75,"$358,929",$0.0682528,0%
42,QUICK-UNI,"$1,947,973","$5,877","$578,504",$17.63,+0.33%
43,WOO-WETH,"$1,766,588","$26,064","$808,680",$78.19,+1.62%
44,PAUTO-QUICK,"$1,725,577","$20,999","$593,997",$63.00,+1.33%
45,WETH-PAUTO,"$1,723,653","$23,345","$544,031",$70.04,+1.48%
46,USDC-FOR,"$1,648,865","$1,442","$3,351,850",$4.33,+0.10%
47,QUICK-RELAY,"$1,594,835","$23,881","$773,702",$71.64,+1.64%
48,USDC-PBNB,"$1,561,006","$16,397","$1,902,985",$49.19,+1.15%
49,USDC-maUSDC,"$1,549,787","$1,843","$322,622",$5.53,+0.13%
50,WMATIC-XZAR,"$1,407,878",$1.03,"$260,289",$0.0031035,0%
51,USDC-O3,"$1,398,155","$8,164","$1,715,810",$24.49,+0.64%
52,START-QUICK,"$1,371,057","$9,254","$310,999",$27.76,+0.74%
53,GNO-WETH,"$1,346,123","$28,065","$54,583",$84.19,+2.28%
54,LINK-QUICK,"$1,281,402","$3,569","$505,048",$10.71,+0.31%
55,WETH-WISE,"$1,212,048",$288.06,"$109,479",$0.86,+0.03%
56,WBTC-TEL,"$1,208,452","$14,187","$417,468",$42.56,+1.29%
57,VISION-WETH,"$1,197,835","$9,031","$263,944",$27.09,+0.83%
58,WETH-GET,"$1,179,710",$790.73,"$832,970",$2.37,+0.07%
59,USDC-DNXC,"$1,177,571","$58,475","$2,123,423",$175.43,+5.44%
60,WMATIC-SIM,"$1,122,145","$48,622","$6,605,718",$145.87,+4.74%
61,USDC-REVV,"$1,094,186","$6,536","$624,878",$19.61,+0.65%
62,WMATIC-ELE,"$1,049,925","$3,302","$389,666",$9.91,+0.34%
63,USDC-FEAR,"$1,038,600","$13,856","$1,075,268",$41.57,+1.46%
64,WMATIC-gNFT,"$1,033,274","$2,498","$463,424",$7.49,+0.26%
65,WMATIC-WAVE,"$971,763",$180.13,"$62,475",$0.54,+0.02%
66,USDC-CIOTX,"$966,103","$10,923","$291,067",$32.77,+1.24%
67,WMATIC-USDT,"$914,469","$53,636","$3,915,114",$160.91,+6.42%
68,QI-QUICK,"$897,076","$7,284","$727,086",$21.85,+0.89%
69,WMATIC-PYR,"$896,213","$77,396","$636,318",$232.19,+9.46%
70,WMATIC-ERN,"$878,958","$8,955","$609,698",$26.86,+1.12%
71,PBNB-QUICK,"$854,550","$4,235","$508,560",$12.70,+0.54%
72,polyBUNNY-QUICK,"$810,849","$2,544","$258,645",$7.63,+0.34%
73,EGG-USDC,"$772,016","$12,222","$1,454,093",$36.67,+1.73%
74,NEXO-QUICK,"$767,134","$5,268","$139,511",$15.80,+0.75%
75,renDGB-WETH,"$731,989","$1,810","$116,008",$5.43,+0.27%
76,WMATIC-KOGECOIN,"$715,633","$3,229","$249,043",$9.69,+0.49%
77,QUICK-GAME,"$713,194",$267.14,"$73,262",$0.80,+0.04%
78,WOO-QUICK,"$701,601","$4,326","$254,427",$12.98,+0.68%
