,dex,network
0,https://dinoswap.exchange,MATIC
1,https://cobra.exchange,BSC
2,,BSC
3,https://www.uniron.finance,FANTOM
4,https://www.knight-finance.xyz,FANTOM
5,https://hamsterparty.club,MATIC
6,https://polysanta.farm,MATIC
7,https://polycuppa.finance/,MATIC
8,https://swap.net,MATIC
9,https://polyglass.farm,MATIC
10,https://polymocha.finance,MATIC
11,https://euroballz.finance,MATIC
12,https://duckfarm.one,MATIC
13,https://neonfinance.club/,MATIC
14,https://berryfarms.world/,MATIC
15,https://ball.polypup.finance,MATIC
16,https://www.polyowl.finance,MATIC
17,https://polygon4.SpacePortDeFi.com,MATIC
18,https://polyunited.finance/,MATIC
19,https://polytopia.farm,MATIC
20,https://raccoonyield.club,MATIC
21,https://wonster.polytopia.farm,MATIC
22,https://heliumfinance.club/,MATIC
23,https://www.cupidswap.com,MATIC
24,https://growthfinance.app,MATIC
25,,MATIC
26,https://polyarrow.xyz,MATIC
27,https://blueberryfarms.world/,MATIC
28,https://platinumfinance.app,MATIC
29,https://kunai.dojofarm.finance,MATIC
30,https://barns.finance,MATIC
31,https://blackberryfarms.world/,MATIC
32,https://polygon2.SpacePortDeFi.com,MATIC
33,https://polygonfarm.finance,MATIC
34,https://polybass.farm,MATIC
35,https://polyseal.farm,MATIC
36,https://vampirefarming.club,MATIC
37,https://polycoke.farm,MATIC
38,https://polytulip.com,MATIC
39,https://dojofarm.finance,MATIC
40,https://tomfinance.app,MATIC
41,https://polypixel.farm/,MATIC
42,https://polyyork.finance/,MATIC
43,https://iridiumfinance.app/,MATIC
44,https://polygon.woodchain.io,MATIC
45,https://bisonfinance.online,MATIC
46,https://polykiwi.farm,MATIC
47,https://polycow.finance,MATIC
48,https://polypizza.farm,MATIC
49,https://polygon3.SpacePortDeFi.com,MATIC
50,https://www.misfitswap.live,MATIC
51,,MATIC
52,https://www.polygarden.finance,MATIC
53,https://gold.polyyork.finance,MATIC
54,https://titanbull.finance,MATIC
55,https://www.chickenfarms.live,MATIC
56,https://www.cygnusdefi.com/,MATIC
57,https://ebiswap.finance,MATIC
58,https://yearnit.finance,MATIC
59,https://polybean.farm,MATIC
60,https://www.polyfund.finance,MATIC
61,https://lionfarming.cc,MATIC
62,https://timeleap.finance,MATIC
63,https://polytail.farm,MATIC
64,https://bcharity.net/,MATIC
65,https://polyyeti.farm,MATIC
66,https://hawkfarming.finance,MATIC
