pair1,pair2,tvl,where,apr,network
WETH,USDT,301347829,SUSHI,15.96,Alternate
USDC,WETH,501504860,SUSHI,11.98,Alternate
DAI,WETH,247666618,SUSHI,21.53,Alternate
sUSD,WETH,12077725.5,SUSHI,20.87,Alternate
COMP,WETH,28832398.8,SUSHI,9.95,Alternate
SNX,WETH,36282993.9,SUSHI,16.03,Alternate
UMA,WETH,9706121.05,SUSHI,8.99,Alternate
LINK,WETH,111673914,SUSHI,17.36,Alternate
BAND,WETH,3421006.64,SUSHI,28.34,Alternate
YFI,WETH,211242285,SUSHI,17.07,Alternate
SUSHI,WETH,462995647,SUSHI,20.1,Alternate
REN,WETH,9244856.53,SUSHI,20.97,Alternate
WETH,CRV,13183444.6,SUSHI,22.06,Alternate
UNI,WETH,25341998.4,SUSHI,0.77,Alternate
xSUSHI,WETH,40479500.8,SUSHI,16.76,Alternate
WBTC,WETH,542280502,SUSHI,9.83,Alternate
CREAM,WETH,2035262.41,SUSHI,28.58,Alternate
HEGIC,WETH,1430563.51,SUSHI,6.78,Alternate
MKR,WETH,38475046.5,SUSHI,10.08,Alternate
PICKLE,WETH,405744.93,SUSHI,23.89,Alternate
WETH,OMG,3586186.6,SUSHI,16.22,Alternate
AAVE,WETH,143162815,SUSHI,11.17,Alternate
WETH,AMP,3880930.44,SUSHI,17.49,Alternate
WETH,RARI,1762152.56,SUSHI,22.01,Alternate
DPI,WETH,4342231.04,SUSHI,13.4,Alternate
YAM,WETH,2526170.85,SUSHI,23.03,Alternate
REDUCE,,0,SUSHI,,Alternate
FARM,WETH,126900.81,SUSHI,76.39,Alternate
DOUGH,WETH,98731.39,SUSHI,98.19,Alternate
STAKE,WETH,694697.28,SUSHI,69.77,Alternate
AKRO,WETH,297766.46,SUSHI,32.56,Alternate
KP3R,WETH,4056339.13,SUSHI,42.06,Alternate
WETH,SEEN,787753.28,SUSHI,12.31,Alternate
ESD,WETH,2589950.42,SUSHI,3.74,Alternate
PNK,WETH,1969627.69,SUSHI,4.92,Alternate
CVP,WETH,311944.64,SUSHI,49.72,Alternate
YETI,WETH,698610.8,SUSHI,27.75,Alternate
ARCH,WETH,1212280.55,SUSHI,15.99,Alternate
WETH,INJ,694688.84,SUSHI,13.95,Alternate
BOR,WETH,1046660.91,SUSHI,9.26,Alternate
DFD,WETH,2176792.07,SUSHI,4.45,Alternate
WBTC,BADGER,13292461.7,SUSHI,21.88,Alternate
zLOT,WETH,47651.84,SUSHI,40.69,Alternate
INDEX,WETH,1101059.23,SUSHI,35.22,Alternate
JRT,WETH,899622.21,SUSHI,10.78,Alternate
WETH,UWL,147369.06,SUSHI,13.16,Alternate
ICHI,WETH,76505.66,SUSHI,126.71,Alternate
ROPE,WETH,48984.82,SUSHI,39.58,Alternate
UST,WETH,1699558.63,SUSHI,41.07,Alternate
WETH,BCP,1196859.4,SUSHI,16.2,Alternate
YPIE,WETH,865570.83,SUSHI,11.2,Alternate
DEFI+L,WETH,183320.23,SUSHI,10.58,Alternate
DDX,USDC,157335.01,SUSHI,12.32,Alternate
MPH,WETH,186114.32,SUSHI,52.09,Alternate
USDT,FRONT,37675.5,SUSHI,102.92,Alternate
WETH,UOP,149413.92,SUSHI,12.98,Alternate
ALPHA,WETH,5539188.18,SUSHI,35,Alternate
WETH,CRETH2,7087148.27,SUSHI,2.74,Alternate
DUSD,WETH,102136.32,SUSHI,94.92,Alternate
ANT,WETH,1805494.55,SUSHI,5.37,Alternate
COVER,WETH,1299258.02,SUSHI,29.85,Alternate
SAFFRONCHEF,,0,SUSHI,,Alternate
WBTC,DIGG,2685304.6,SUSHI,36.1,Alternate
NFTX,WETH,7134122.81,SUSHI,20.38,Alternate
API3,WETH,2614234.55,SUSHI,14.83,Alternate
LDO,WETH,7825679.26,SUSHI,24.78,Alternate
WETH,pWING,54478.12,SUSHI,35.59,Alternate
TUSD,WETH,1397633.87,SUSHI,34.68,Alternate
ALEPH,WETH,183288.54,SUSHI,52.89,Alternate
MTA,WETH,351664.26,SUSHI,11.03,Alternate
WETH,RGT,3278363.47,SUSHI,17.74,Alternate
IDLE,WETH,2340017.21,SUSHI,4.14,Alternate
SDT,WETH,633356.54,SUSHI,122.45,Alternate
GNO,WETH,520883.59,SUSHI,3.72,Alternate
BAC,WETH,10136.46,SUSHI,191.28,Alternate
ARMOR,WETH,216086.08,SUSHI,44.86,Alternate
WETH,ASSY,46118.25,SUSHI,42.04,Alternate
renDOGE,WETH,696555.27,SUSHI,83.51,Alternate
NCT,WETH,96452.78,SUSHI,20.1,Alternate
TORN,WETH,775678.87,SUSHI,74.99,Alternate
VSP,WETH,6532983.45,SUSHI,22.26,Alternate
WETH,YLD,92062.77,SUSHI,105.3,Alternate
DAO,WETH,425582.68,SUSHI,22.78,Alternate
WETH,GRT,1666209.48,SUSHI,34.91,Alternate
FTM,WETH,6327965.77,SUSHI,7.66,Alternate
WETH,ANY,4586870.83,SUSHI,2.11,Alternate
PUNK,WETH,45943.46,SUSHI,42.2,Alternate
MASK,WETH,60258.03,SUSHI,32.18,Alternate
XFT,WETH,287376.02,SUSHI,6.75,Alternate
WETH,ZRX,1629597.4,SUSHI,5.95,Alternate
DERI,USDT,1348606.5,SUSHI,7.19,Alternate
PREMIA,WETH,3059936.48,SUSHI,3.17,Alternate
BANK,WETH,1094469.12,SUSHI,141.72,Alternate
LINA,WETH,159802.38,SUSHI,60.66,Alternate
PERP,WETH,9761893.07,SUSHI,4.97,Alternate
WSCRT,WETH,339448.01,SUSHI,28.56,Alternate
USDP,WETH,225235.56,SUSHI,43.04,Alternate
USDP,DUCK,245790.61,SUSHI,23.66,Alternate
TRDL,WETH,43642.7,SUSHI,44.43,Alternate
RLC,WETH,968667.57,SUSHI,10.01,Alternate
bDIGG,WETH,78704.93,SUSHI,73.9,Alternate
bBADGER,WETH,241582.58,SUSHI,40.13,Alternate
YLA,USDC,614477.2,SUSHI,31.55,Alternate
MASK,USDC,453262.45,SUSHI,85.55,Alternate
WETH,ROOK,3702510.16,SUSHI,13.09,Alternate
DFX,WETH,243498.41,SUSHI,39.81,Alternate
INV,WETH,768482.69,SUSHI,126.15,Alternate
OCEAN,WETH,256181,SUSHI,37.84,Alternate
WOO,USDC,1754384.37,SUSHI,27.63,Alternate
pONT,pWING,134837.1,SUSHI,71.9,Alternate
DNT,WETH,855995.17,SUSHI,11.33,Alternate
AERGO,WETH,242592.46,SUSHI,39.96,Alternate
EGT,WETH,519201.53,SUSHI,18.67,Alternate
MUST,WETH,694402.24,SUSHI,13.96,Alternate
OHM,DAI,1450331.14,SUSHI,133.68,Alternate
POOL,WETH,185884.92,SUSHI,52.15,Alternate
WETH,YLD,840679.53,SUSHI,11.53,Alternate
BZRX,WETH,1208737.89,SUSHI,8.02,Alternate
kmWETH,USDT,0,SUSHI,NaN,Alternate
kmWETH,USDC,0,SUSHI,NaN,Alternate
kmWETH,DAI,0,SUSHI,NaN,Alternate
kmWBTC,USDT,0,SUSHI,NaN,Alternate
kmWBTC,DAI,0,SUSHI,NaN,Alternate
kmWBTC,USDC,0,SUSHI,NaN,Alternate
kmLINK,USDT,0,SUSHI,NaN,Alternate
kmLINK,DAI,0,SUSHI,NaN,Alternate
kmLINK,USDC,0,SUSHI,NaN,Alternate
kmUSDC,1INCH,0,SUSHI,NaN,Alternate
kmUSDC,AAVE,0,SUSHI,NaN,Alternate
kmUSDC,BADGER,0,SUSHI,NaN,Alternate
kmUSDC,ALPHA,0,SUSHI,NaN,Alternate
kmUSDC,BZRX,0,SUSHI,NaN,Alternate
kmUSDC,COMP,0,SUSHI,NaN,Alternate
kmUSDC,COVER,0,SUSHI,NaN,Alternate
kmUSDC,CREAM,0,SUSHI,NaN,Alternate
kmUSDC,GRT,0,SUSHI,NaN,Alternate
kmUSDC,HEGIC,0,SUSHI,NaN,Alternate
kmUSDC,LINK,0,SUSHI,NaN,Alternate
kmUSDC,REN,0,SUSHI,NaN,Alternate
kmUSDC,SRM,0,SUSHI,NaN,Alternate
kmUSDC,SUSHI,0,SUSHI,NaN,Alternate
kmUSDC,UNI,0,SUSHI,NaN,Alternate
kmUSDC,wNXM,0,SUSHI,NaN,Alternate
kmUSDC,YFI,0,SUSHI,NaN,Alternate
kmSUSHI,UNI,0,SUSHI,NaN,Alternate
kmUNI,SUSHI,0,SUSHI,NaN,Alternate
kmSUSHI,USDC,0,SUSHI,NaN,Alternate
kmSUSHI,USDT,0,SUSHI,NaN,Alternate
kmSUSHI,DAI,0,SUSHI,NaN,Alternate
kmWETH,1INCH,0,SUSHI,NaN,Alternate
kmYFI,USDC,0,SUSHI,NaN,Alternate
kmAAVE,USDC,0,SUSHI,NaN,Alternate
kmALPHA,USDC,0,SUSHI,NaN,Alternate
kmBADGER,USDC,0,SUSHI,NaN,Alternate
kmRUNE,USDT,0,SUSHI,NaN,Alternate
kmUMA,DAI,0,SUSHI,NaN,Alternate
kmDAI,CRV,0,SUSHI,NaN,Alternate
kmDPI,sUSD,0,SUSHI,NaN,Alternate
yvBOOST,WETH,25943222.8,SUSHI,29.89,Alternate
AXS,WETH,2234039.39,SUSHI,21.7,Alternate
BDI,WETH,8548791.47,SUSHI,28.35,Alternate
BASK,WETH,1761588.79,SUSHI,137.58,Alternate
WBTC,ibBTC,58698985.5,SUSHI,4.13,Alternate
ZIG,WETH,307184.01,SUSHI,31.56,Alternate
MM,WETH,300422.72,SUSHI,64.54,Alternate
PENDLE,WETH,2319186.11,SUSHI,83.6,Alternate
PMON,WETH,150705.63,SUSHI,64.33,Alternate
MANA,WETH,3424482.21,SUSHI,56.62,Alternate
WASABI,WETH,159462.67,SUSHI,60.79,Alternate
DRC,WETH,197307.23,SUSHI,98.27,Alternate
WETH,DG,236622.08,SUSHI,81.94,Alternate
ILV,WETH,1469938.81,SUSHI,65.95,Alternate
kmxSUSHI,UST,0,SUSHI,NaN,Alternate
kmxSUSHI,DAI,0,SUSHI,NaN,Alternate
kmxSUSHI,USDC,0,SUSHI,NaN,Alternate
kmxSUSHI,TUSD,0,SUSHI,NaN,Alternate
kmxSUSHI,USDT,0,SUSHI,NaN,Alternate
MASTERCHEFDUMMY,,0,SUSHI,NaN,Alternate
BLO,WETH,119926.01,SUSHI,32.33,Alternate
LDN,WETH,71947.5,SUSHI,80.85,Alternate
WETH,WOOFY,122280.62,SUSHI,15.86,Alternate
YFI,WOOFY,276462.34,SUSHI,7.01,Alternate
NAOS,WETH,359825.71,SUSHI,134.71,Alternate
UMB,WETH,126159.92,SUSHI,76.84,Alternate
MOVE,WETH,776426.35,SUSHI,24.97,Alternate
LEV,WETH,188929.13,SUSHI,20.52,Alternate
WETH,MLN,4772939.23,SUSHI,40.62,Alternate
RULER,WETH,177358.53,SUSHI,131.18,Alternate
kmCOMP,USDC,0,SUSHI,NaN,Alternate
kmFTM,USDC,0,SUSHI,NaN,Alternate
kmSNX,USDC,0,SUSHI,NaN,Alternate
kmRUNE,sUSD,0,SUSHI,NaN,Alternate
kmREN,USDC,0,SUSHI,NaN,Alternate
kmAAVE,DAI,0,SUSHI,NaN,Alternate
kmUNI,DAI,0,SUSHI,NaN,Alternate
