,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date
0,$BASED,ETH,,5.7169343999999995,ETH,,POOL,Uniswap,2021-06-07
1,$BASED,SUSD,,10.6874484,ETH,,POOL,Uniswap,2021-06-07
2,$DG,ETH,738323.48,95.76,MATIC,160.21708304419641,FARM,https://quickswap.exchange/#/quick,2021-06-07
3,$DG,ETH,,7.8732138,ETH,,POOL,Uniswap,2021-06-07
4,$DG,QUICK,308739.68,84.77,MATIC,133.19787226345676,FARM,https://quickswap.exchange/#/quick,2021-06-07
5,$TRDL,ETH,,5.7467652000000005,ETH,,POOL,Uniswap,2021-06-07
6,$TRDL,MUST,4788.19,350.19,MATIC,3162.9201407768464,FARM,https://swap.cometh.io/#/stake,2021-06-07
7,0xBTC,ETH,,4.15804956,ETH,,POOL,Uniswap,2021-06-07
8,0xMR,ETH,,2.4180504,ETH,,POOL,Uniswap,2021-06-07
9,1337,ETH,,0.43143084,ETH,,POOL,Uniswap,2021-06-07
10,1INCH,,0.00,0,BSC,0.0,FARM,https://caramelswap.finance,2021-06-07
11,1INCH,ABS,238.73,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
12,1INCH,BNB,1944.31,345.67,BSC,3020.050963095037,FARM,https://icecreamswap.finance,2021-06-07
13,1INCH,BNB,12705.96,291.04,BSC,1715.3402127254094,FARM,http://mangofarm.finance,2021-06-07
14,1INCH,BUSD,500.13,29.46,BSC,34.24296914542304,FARM,http://mangofarm.finance,2021-06-07
15,1INCH,ETH,,29.85086436,ETH,,POOL,Uniswap,2021-06-07
16,1INCH,USDC,,0.7669645199999999,ETH,,POOL,Uniswap,2021-06-07
17,1INCH,USDT,"92,470",486.39,BSC,12443.371985133965,FARM,https://babyswap.finance/ilo,2021-06-07
18,1INCH,kmUSDC,0.0,,ETH,,FARM,SUSHI,2021-06-07
19,1INCH,kmWETH,0.0,,ETH,,FARM,SUSHI,2021-06-07
20,1UP,ETH,,0.86711004,ETH,,POOL,Uniswap,2021-06-07
21,2KEY,DAI,,2.9207509199999997,ETH,,POOL,Uniswap,2021-06-07
22,2KEY,ETH,,3.8658324000000004,ETH,,POOL,Uniswap,2021-06-07
23,3Crv,,80107400.24,0,ETH,0.0,FARM,https://www.convexfinance.com,2021-06-07
24,3EPS,,337375473.08,17.91,BSC,19.608781115711558,FARM,https://ellipsis.finance,2021-06-07
25,3FROYO,,671667.78,57.79,FANTOM,78.14773488777797,FARM,https://frozenyogurt.finance,2021-06-07
26,4Belt,,0.00,0,BSC,0.0,FARM,https://beta.belt.fi,2021-06-07
27,4Belt,,0.00,0,BSC,0.0,FARM,https://blue.planetfinance.io,2021-06-07
28,69C,ETH,,0.14224476,ETH,,POOL,Uniswap,2021-06-07
29,AAH,ETH,,0.3326154,ETH,,POOL,Uniswap,2021-06-07
30,AAVE,,64211.99,76.66,MATIC,115.0705849621612,FARM,https://polygaj.finance,2021-06-07
31,AAVE,,48285.60,0,MATIC,0.0,FARM,https://www.polycake.finance,2021-06-07
32,AAVE,,8004.90,0,MATIC,0.0,FARM,https://polylion.exchange,2021-06-07
33,AAVE,,41288.63,85.81,MATIC,135.63007235260062,FARM,https://www.moonwolf.io,2021-06-07
34,AAVE,,645887.10,568.48,MATIC,28073.99726416108,FARM,https://polygold.finance,2021-06-07
35,AAVE,,239134.27,340.14,MATIC,2853.7159600707864,FARM,https://polypingu.finance,2021-06-07
36,AAVE,,248470.90,560.05,MATIC,25829.539744193367,FARM,https://polygon.prismfinance.net,2021-06-07
37,AAVE,,26349.82,166350.20,ETH,7.623249928881094e+273,FARM,https://www.bigdataprotocol.com/datavault,2021-06-07
38,AAVE,AVAX,3864339.02,30.54,AVAX,35.69944694205609,FARM,https://app.pangolin.exchange/#/png,2021-06-07
39,AAVE,ELK,8683.33,104.34,FANTOM,183.46302027321678,FARM,https://app.elk.finance,2021-06-07
40,AAVE,ETH,143162815.0,11.17,ETH,11.815824970257506,FARM,SUSHI,2021-06-07
41,AAVE,ETH,,3.4868001600000005,ETH,,POOL,Uniswap,2021-06-07
42,AAVE,FTM,1801239.05,73.35,FANTOM,108.08240000473228,FARM,https://spookyswap.finance,2021-06-07
43,AAVE,FTM,370321.16,92.62,FANTOM,152.1935978658894,FARM,https://waka.finance,2021-06-07
44,AAVE,MUST,12414.09,4.79,MATIC,4.906244655583247,FARM,https://swap.cometh.io/#/stake,2021-06-07
45,AAVE,PNG,236780.03,95.40,AVAX,159.28442362687778,FARM,https://app.pangolin.exchange/#/png,2021-06-07
46,AAVE,USDC,117104.36,101.31,FANTOM,175.02631767773374,FARM,https://www.liquiddriver.finance,2021-06-07
47,AAVE,USDT,"189,401",236.66,BSC,957.994979269686,FARM,https://babyswap.finance/ilo,2021-06-07
48,AAVE,WMATIC,499070.38,90.26,MATIC,146.32603726426785,FARM,https://farm.polyzap.finance,2021-06-07
49,AAVE,kmUSDC,0.0,,ETH,,FARM,SUSHI,2021-06-07
50,ABS,,419666.63,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
51,ABS,1INCH,238.73,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
52,ABS,BNB,3980.98,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
53,ABS,BUSD,4887.81,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
54,ABS,Cake,1656.03,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-07
55,ABYSS,ETH,,6.594082680000001,ETH,,POOL,Uniswap,2021-06-07
56,AC,ETH,,3.32741472,ETH,,POOL,Uniswap,2021-06-07
57,ACS,SXP,732432.94,0.31,BSC,0.31047967638468954,FARM,https://swipe.org/farm,2021-06-07
58,ADA,,387512.79,37.94,BSC,46.11195434903239,FARM,https://koaladefi.finance/,2021-06-07
59,ADA,,106692.53,36.49,BSC,44.01074393464468,FARM,https://app.hyruleswap.com,2021-06-07
60,ADA,,17782.47,26.31,BSC,30.08335111316658,FARM,https://limeswap.io,2021-06-07
61,ADA,,135707.29,178.68,BSC,494.4347226579648,FARM,https://caramelswap.finance,2021-06-07
62,ADA,,4152.55,155.71,BSC,372.93515502374515,FARM,https://vanillacake.farm,2021-06-07
63,ADA,,135369.54,29.12,BSC,33.78768282699334,FARM,https://garudaswap.finance,2021-06-07
64,ADA,,748488.25,106.17,BSC,188.68295799245018,FARM,https://gocerberus.finance,2021-06-07
65,ADA,,330916.67,343.82,BSC,2963.390885166676,FARM,https://ketchupfinance.com,2021-06-07
66,ADA,,22301.11,52.13,BSC,68.35894452562363,FARM,https://TheKongFinance.com,2021-06-07
67,ADA,,"100,857",454.42,BSC,9048.227867935131,FARM,https://machoswap.com/farms,2021-06-07
68,ADA,BNB,24816235.23,22.36,BSC,25.04850786682431,FARM,https://pancakeswap.finance,2021-06-07
