,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
0,,sil,0.0,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
1,,xSUSHI,0.0,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
2,$BASED,ETH,13.9599249671,11.399762160000002,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
3,$BASED,SUSD,15.8202214702,7.164307559999999,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
4,$DG,BNB,2303008.23,676.04,BSC,81023.32431188601,FARM,https://pancakeswap.finance,2021-06-21,x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/
5,$DG,ETH,718318.73,81.48,MATIC,125.66736673184553,FARM,https://quickswap.exchange/#/quick,2021-06-21,,,,,,,,
6,$DG,ETH,927.09184609,48.312018480000006,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
7,$DG,QUICK,223059.51,87.70,MATIC,140.11507059966593,FARM,https://quickswap.exchange/#/quick,2021-06-21,,,,,,,,
8,$ROPE,ETH,23.2775002639,2.6847416400000004,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
9,$TRDL,ETH,125559.01,144.92,ETH,324.7500247171909,FARM,https://strudel.finance,2021-06-21,,,,,,,,
10,$TRDL,ETH,64.2897513693,3.7541240399999998,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
11,$TRDL,ETH,3.6026995643,1.96526784,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
12,$TRDL,MUST,1009.32,0.00,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-06-21,,,,,,,,
13,$TRDL,oneVBTC,0.0,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
14,0XMON,ETH,9.8679019964,17.5935342,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
15,0xBTC,ETH,43369.93,5.68,ETH,5.843942309978645,FARM,https://www.bao.finance,2021-06-21,,,,,,,,
16,0xBTC,ETH,0.0037067058,0.0,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
17,0xBTC,ETH,24.2387943957,5.831882759999999,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
18,0xMR,ETH,5.3162450295,6.74223696,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
19,10SET,ETH,0.0007452129,0.12823259999999997,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
20,1337,ETH,147.2052603912,0.8739114,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
21,1INCH,,0.00,0,BSC,0.0,FARM,https://caramelswap.finance,2021-06-21,x,,,some,Caramel,CARAMEL,https://caramelswap.finance,https://rugdoc.io/project/caramelswap-finance/
22,1INCH,ABS,65.34,0.00,BSC,0.0,FARM,https://absorber.finance,2021-06-21,,,,,,,,
23,1INCH,BNB,1651.45,286.05,BSC,1627.653756102584,FARM,https://icecreamswap.finance,2021-06-21,x,3.0,,,Icecream,GLTO,https://icecreamswap.finance,https://swapicecream.gitbook.io/icecreamswap-2-0/audit-report
24,1INCH,BNB,2497.39,440.49,BSC,7872.093944949906,FARM,http://mangofarm.finance,2021-06-21,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
25,1INCH,BNB,2766.36,50.14,BSC,65.04631224756699,FARM,https://brussels.worldswap.finance,2021-06-21,,,,,,,,
26,1INCH,BUSD,251.16,17.45,BSC,19.060109402094373,FARM,http://mangofarm.finance,2021-06-21,x,,,some,Mango,MANGO,http://mangofarm.finance,https://rugdoc.io/project/mangofarm/
27,1INCH,ETH,1503256.43,0.15,ETH,0.1501122475890737,FARM,https://www.bao.finance,2021-06-21,,,,,,,,
28,1INCH,ETH,11620050.51,0.00,ETH,0.0,FARM,https://1inch.exchange/#/dao/farming,2021-06-21,,,,,,,,
29,1INCH,ETH,786.5573654236,17.665750080000002,ETH,,POOL,Uniswap,2021-06-21,,,,,,,,
30,1INCH,ETH,6.03718835,2.11926708,ETH,,POOL,Sushi,2021-06-21,,,,,,,,
