pair1,pair2,tvl,where,qpr,network
WETH,USDT,256102490.5,SUSHI,12.77,ETH
USDC,WETH,352425256.3,SUSHI,11.6,ETH
DAI,WETH,212935570.6,SUSHI,17.03,ETH
sUSD,WETH,9492397.29,SUSHI,18.06,ETH
COMP,WETH,22151051.62,SUSHI,8.81,ETH
SNX,WETH,21968724.56,SUSHI,18.01,ETH
UMA,WETH,7575340.39,SUSHI,7.83,ETH
LINK,WETH,83326536.06,SUSHI,15.82,ETH
BAND,WETH,2276553.01,SUSHI,28.96,ETH
YFI,WETH,165604081.4,SUSHI,14.81,ETH
SUSHI,WETH,290579155.4,SUSHI,21.78,ETH
REN,WETH,6452506.4,SUSHI,20.44,ETH
WETH,CRV,13763283.34,SUSHI,14.37,ETH
UNI,WETH,2378153.76,SUSHI,5.54,ETH
xSUSHI,WETH,27155785.48,SUSHI,17,ETH
WBTC,WETH,393282295.5,SUSHI,9.22,ETH
CREAM,WETH,1710624.27,SUSHI,23.13,ETH
HEGIC,WETH,806285.83,SUSHI,8.18,ETH
MKR,WETH,25374448.52,SUSHI,10.39,ETH
PICKLE,WETH,284513.53,SUSHI,23.17,ETH
WETH,OMG,2531829.1,SUSHI,15.62,ETH
AAVE,WETH,97454796.63,SUSHI,11.16,ETH
WETH,AMP,3545115.58,SUSHI,13.02,ETH
WETH,RARI,1601467.74,SUSHI,16.47,ETH
DPI,WETH,3214224.19,SUSHI,12.31,ETH
YAM,WETH,1747870.66,SUSHI,22.63,ETH
REDUCE,,0,SUSHI,NaN,ETH
FARM,WETH,99486.35,SUSHI,66.27,ETH
DOUGH,WETH,66829.64,SUSHI,98.66,ETH
STAKE,WETH,683918.71,SUSHI,48.2,ETH
AKRO,WETH,213233.67,SUSHI,30.92,ETH
KP3R,WETH,2910560.17,SUSHI,39.87,ETH
WETH,SEEN,516817.54,SUSHI,12.76,ETH
ESD,WETH,1945540.06,SUSHI,3.39,ETH
PNK,WETH,421452.8,SUSHI,15.64,ETH
CVP,WETH,201141.92,SUSHI,52.45,ETH
YETI,WETH,548489.01,SUSHI,24.04,ETH
ARCH,WETH,644837.67,SUSHI,20.45,ETH
WETH,INJ,483271.57,SUSHI,13.64,ETH
BOR,WETH,413295.65,SUSHI,15.95,ETH
DFD,WETH,1019612.19,SUSHI,6.47,ETH
WBTC,BADGER,10408056.53,SUSHI,19,ETH
zLOT,WETH,37946.24,SUSHI,34.75,ETH
INDEX,WETH,916012.71,SUSHI,28.79,ETH
JRT,WETH,157096.59,SUSHI,41.97,ETH
WETH,UWL,108711.09,SUSHI,12.13,ETH
ICHI,WETH,50570.17,SUSHI,130.38,ETH
ROPE,WETH,16433.96,SUSHI,80.24,ETH
UST,WETH,1448758.19,SUSHI,32.77,ETH
WETH,BCP,887592.65,SUSHI,14.86,ETH
YPIE,WETH,624658.75,SUSHI,10.55,ETH
DEFI+L,WETH,96200.79,SUSHI,13.71,ETH
DDX,USDC,150806.53,SUSHI,8.74,ETH
MPH,WETH,102077.36,SUSHI,64.59,ETH
USDT,FRONT,30859.76,SUSHI,85.46,ETH
WETH,UOP,114535.62,SUSHI,11.51,ETH
ALPHA,WETH,3623414.32,SUSHI,36.39,ETH
WETH,CRETH2,4435894.26,SUSHI,2.97,ETH
DUSD,WETH,187729.28,SUSHI,35.12,ETH
ANT,WETH,1106638.12,SUSHI,5.96,ETH
COVER,WETH,911068.29,SUSHI,28.95,ETH
SAFFRONCHEF,,0,SUSHI,NaN,ETH
WBTC,DIGG,4077660.23,SUSHI,16.17,ETH
NFTX,WETH,6364676.12,SUSHI,15.54,ETH
API3,WETH,1596947.02,SUSHI,16.51,ETH
LDO,WETH,6090093.65,SUSHI,21.65,ETH
WETH,pWING,39210.55,SUSHI,33.63,ETH
TUSD,WETH,647678.59,SUSHI,50.9,ETH
ALEPH,WETH,132929.89,SUSHI,49.6,ETH
MTA,WETH,252372.48,SUSHI,10.45,ETH
WETH,RGT,2313548.59,SUSHI,17.1,ETH
IDLE,WETH,1759525.32,SUSHI,3.75,ETH
SDT,WETH,378811.6,SUSHI,139.24,ETH
GNO,WETH,167517.95,SUSHI,7.87,ETH
BAC,WETH,63146.57,SUSHI,20.88,ETH
ARMOR,WETH,144833.37,SUSHI,45.52,ETH
WETH,ASSY,27426.52,SUSHI,48.08,ETH
renDOGE,WETH,694290.02,SUSHI,56.98,ETH
NCT,WETH,34392.03,SUSHI,38.34,ETH
TORN,WETH,841054.15,SUSHI,47.03,ETH
VSP,WETH,3539714.46,SUSHI,27.94,ETH
WETH,YLD,56639.48,SUSHI,116.41,ETH
DAO,WETH,319236.08,SUSHI,20.65,ETH
WETH,GRT,1095151.83,SUSHI,36.12,ETH
FTM,WETH,4609196.57,SUSHI,7.15,ETH
