,pair1,pair2,tvl,apr,network,apy,qpr,type_of_agriculture,dex,date,#,Indiv. Assesment,Audit Score,RugDoc,Farm Name,Farm Symbol,Farm Url,rugdoc_url
0,,sil,0.0,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
1,$BASED,ETH,12357.6456165,11.29263312,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
2,$BASED,SUSD,15617.8539163,5.28389172,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
3,$DG,BNB,1763242.43,221.00,BSC,805.5174267563523,,FARM,https://pancakeswap.finance,2021-06-28,x,,,least,Pancake,CAKE,https://pancakeswap.finance,https://rugdoc.io/project/pancakeswap/
4,$DG,ETH,575396.91,83.81,MATIC,130.9749928719156,,FARM,https://quickswap.exchange/#/quick,2021-06-28,,,,,,,,
5,$DG,ETH,754602.7704681,23.89966308,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
6,$DG,QUICK,172671.26,70.04,MATIC,101.32067689831925,,FARM,https://quickswap.exchange/#/quick,2021-06-28,,,,,,,,
7,$ROPE,ETH,21911.2203189,1.694274,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
8,$TRDL,ETH,130867.64,146.48,ETH,331.4013203439246,,FARM,https://strudel.finance,2021-06-28,,,,,,,,
9,$TRDL,ETH,66660.3234788,4.68032904,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
10,$TRDL,ETH,4886.1899874,5.22454692,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
11,$TRDL,MUST,2384.73,0.00,MATIC,0.0,,FARM,https://swap.cometh.io/#/stake,2021-06-28,,,,,,,,
12,$TRDL,oneVBTC,0.0,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
13,0XMON,ETH,15095.741157,29.23453428,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
14,0xBTC,ETH,3.7067058,0.0,ETH,,,POOL,Sushi,2021-06-28,,,,,,,,
15,0xBTC,ETH,24481.828752999998,4.9600000799999995,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
16,0xMR,ETH,4643.715326699999,3.61462812,ETH,,,POOL,Uniswap,2021-06-28,,,,,,,,
