pair1,pair2,tvl,apr,where,network
WETH,USDT,274153147,11.73,https://app.sushi.com/farms/,ETH
USDC,WETH,334518563,12.16,https://app.sushi.com/farms/,ETH
DAI,WETH,226055181,13.93,https://app.sushi.com/farms/,ETH
sUSD,WETH,9648626,17.68,https://app.sushi.com/farms/,ETH
COMP,WETH,23938325,8.77,https://app.sushi.com/farms/,ETH
SNX,WETH,21452196,18.35,https://app.sushi.com/farms/,ETH
UMA,WETH,6439473,20.38,https://app.sushi.com/farms/,ETH
LINK,WETH,84483767,14.76,https://app.sushi.com/farms/,ETH
BAND,WETH,2352507,22.31,https://app.sushi.com/farms/,ETH
YFI,WETH,159017048,14.03,https://app.sushi.com/farms/,ETH
SUSHI,WETH,296818826,21.22,https://app.sushi.com/farms/,ETH
REN,WETH,6491007,20.22,https://app.sushi.com/farms/,ETH
WETH,CRV,19219369,10.24,https://app.sushi.com/farms/,ETH
UNI,WETH,2618247,5.01,https://app.sushi.com/farms/,ETH
xSUSHI,WETH,25323771,16.84,https://app.sushi.com/farms/,ETH
WBTC,WETH,450987318,7.71,https://app.sushi.com/farms/,ETH
CREAM,WETH,1691249,23.28,https://app.sushi.com/farms/,ETH
HEGIC,WETH,791921,8.28,https://app.sushi.com/farms/,ETH
MKR,WETH,27490914,9.55,https://app.sushi.com/farms/,ETH
PICKLE,WETH,286898,22.87,https://app.sushi.com/farms/,ETH
WETH,OMG,2687133,14.65,https://app.sushi.com/farms/,ETH
AAVE,WETH,100650692,10.76,https://app.sushi.com/farms/,ETH
WETH,AMP,3502376,22.48,https://app.sushi.com/farms/,ETH
WETH,RARI,1770486,14.82,https://app.sushi.com/farms/,ETH
DPI,WETH,3312421,17.83,https://app.sushi.com/farms/,ETH
YAM,WETH,1769487,22.25,https://app.sushi.com/farms/,ETH
FARM,WETH,113900,57.6,https://app.sushi.com/farms/,ETH
DOUGH,WETH,67192,195.29,https://app.sushi.com/farms/,ETH
STAKE,WETH,521163,62.94,https://app.sushi.com/farms/,ETH
AKRO,WETH,216884,30.25,https://app.sushi.com/farms/,ETH
KP3R,WETH,2902296,31.65,https://app.sushi.com/farms/,ETH
WETH,SEEN,520514,12.6,https://app.sushi.com/farms/,ETH
ESD,WETH,1980175,3.31,https://app.sushi.com/farms/,ETH
PNK,WETH,432088,15.18,https://app.sushi.com/farms/,ETH
CVP,WETH,202001,12.99,https://app.sushi.com/farms/,ETH
YETI,WETH,557154,18.84,https://app.sushi.com/farms/,ETH
ARCH,WETH,775853,16.91,https://app.sushi.com/farms/,ETH
WETH,INJ,504383,39.02,https://app.sushi.com/farms/,ETH
BOR,WETH,397492,49.52,https://app.sushi.com/farms/,ETH
DFD,WETH,1078454,18.25,https://app.sushi.com/farms/,ETH
WBTC,BADGER,10837957,18.16,https://app.sushi.com/farms/,ETH
INDEX,WETH,936029,28.04,https://app.sushi.com/farms/,ETH
JRT,WETH,161738,40.56,https://app.sushi.com/farms/,ETH
ICHI,WETH,52466,125.05,https://app.sushi.com/farms/,ETH
