,pair1,pair2,tvl,apr,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
0,,sil,0.0,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
1,$BASED,ETH,8171.7939351,435.78845496,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
2,$BASED,SUSD,9102.1337045,12.30405252,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
3,$BASED,sUSD,95.2909027,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
4,$DG,BNB,2052889.12,182.14,BSC,515.2574083416242,FARM,https://pancakeswap.finance,2021-07-12,https://pancakeswap.finance,BSC,B
5,$DG,ETH,634385.16,63.92,MATIC,89.39052337855469,FARM,https://quickswap.exchange/#/quick,2021-07-12,https://quickswap.exchange/#/quick,MATIC,B
6,$DG,ETH,748801.1436533,12.6326634,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
7,$DG,ETH,93442.106834,22.145634360000003,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
8,$DG,QUICK,180170.42,67.42,MATIC,96.1242302841714,FARM,https://quickswap.exchange/#/quick,2021-07-12,https://quickswap.exchange/#/quick,MATIC,B
9,$ITG,USDC,59090.3911834,1.19721756,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
10,$ROPE,ETH,26434.357167200003,4.00070304,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
11,$TRDL,ETH,129112.79,143.96,ETH,320.70785374442937,FARM,https://strudel.finance,2021-07-12,https://strudel.finance,ETH,D
12,$TRDL,ETH,56307.0950725,3.5534354400000003,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
13,$TRDL,ETH,3640.7205525,3.6866379600000005,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
14,$TRDL,MUST,3642.06,0.00,MATIC,0.0,FARM,https://swap.cometh.io/#/stake,2021-07-12,https://swap.cometh.io/#/stake,MATIC,C
15,$TRDL,oneVBTC,0.0,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
16,(PoS),,0.00,0,MATIC,0.0,FARM,https://polygon.cosmicswap.finance,2021-07-12,https://polygon.cosmicswap.finance,MATIC,C
17,0819,AUR,0.0,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
18,0921,uPUNKS,0.0,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
19,0XMON,ETH,15587.901752700001,6.81569676,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
20,0xBTC,ETH,3.7067058,0.0,ETH,,POOL,Sushi,2021-07-12,Sushi,ETH,A
21,0xBTC,ETH,22722.2127332,3.23270472,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
22,0xMR,ETH,4660.8636103,0.9484544399999999,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
23,10 - kmWETH,WMATIC-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-12,https://gemstones.finance,MATIC,C
24,11 - kmWETH,USDT-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-12,https://gemstones.finance,MATIC,C
25,12 - kmAAVE,USDC-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-12,https://gemstones.finance,MATIC,C
26,13 - kmWBTC,DAI-LINK,0.00,0,MATIC,0.0,FARM,https://gemstones.finance,2021-07-12,https://gemstones.finance,MATIC,C
27,1337,ETH,141167.0481543,0.25865736,ETH,,POOL,Uniswap,2021-07-12,Uniswap,ETH,A
28,1INCH,ABS,3.21,0.00,BSC,0.0,FARM,https://absorber.finance,2021-07-12,https://absorber.finance,BSC,D
29,1INCH,BNB,1257.19,275.23,BSC,1451.7601291227204,FARM,https://icecreamswap.finance,2021-07-12,https://icecreamswap.finance,BSC,D
30,1INCH,BNB,814.42,668.92,BSC,75545.54766558438,FARM,http://mangofarm.finance,2021-07-12,http://mangofarm.finance,BSC,C
31,1INCH,BNB,0.00,0,BSC,0.0,FARM,https://brussels.worldswap.finance,2021-07-12,https://brussels.worldswap.finance,BSC,D
