,dex,network
0,https://farm.boneswap.finance,MATIC
1,https://bisonfinance.online,MATIC
2,https://polymocha.finance,MATIC
3,https://www.polyowl.finance,MATIC
4,https://vampirefarming.club,MATIC
5,https://www.polygarden.finance,MATIC
6,https://dojofarm.finance,MATIC
7,https://www.polymaple.com,MATIC
8,https://polytopia.farm,MATIC
9,https://www.chickenfarms.live,MATIC
10,https://polycuppa.finance/,MATIC
11,https://www.symbioteswap.net,BSC
12,https://www.magmacakefinance.com,BSC
13,https://sabertoothswap.com,BSC
15,https://jungleswap.cash,BSC
17,https://kittyfarms.app/,BSC
18,https://corgiswap.org,BSC
22,https://dexterlab.finance,BSC
24,https://www.bamboodefi.com,ETH
28,https://polyyearn.finance,MATIC
29,https://app.hepa.finance,BSC
30,https://www.cryptosphere.finance,BSC
34,https://batswap.finance/,MATIC
37,https://www.strangebrew.finance,FANTOM
39,https://retrofarms.net,BSC
44,https://bsc.bullrun.finance,BSC
45,https://goldfarm.app,BSC
75,https://shibance.com,BSC
90,https://www.moondoge.com,BSC
125,https://shibaswap.com,ETH
130,https://fantom.bullrun.finance,FANTOM
135,PolyMeme V2,MATIC
136,https://caveman.polymax.club,MATIC
139,https://hanoi.worldswap.finance,MATIC
141,https://polygon.bullrun.finance,MATIC
144,https://cancer.astrofarms.finance,MATIC
146,https://polygorilla.finance,MATIC
342,PolyTreasure,MATIC
368,https://pantsuswap.com,MATIC
374,https://valueset.finance/,ETH
417,https://polyracoon.com,MATIC
508,https://gravityfinance.io/app/#farms,MATIC
