pair1,pair2,apr,tvl,where,network
WETH,USDT,12.81,258536006.3,https://app.sushi.com/farms,ETH
USDC,WETH,11.56,362487636.3,https://app.sushi.com/farms,ETH
DAI,WETH,14.18,224085916.7,https://app.sushi.com/farms,ETH
sUSD,WETH,17.01,10331566.09,https://app.sushi.com/farms,ETH
COMP,WETH,7.96,27158281.1,https://app.sushi.com/farms,ETH
SNX,WETH,32.18,12605488.82,https://app.sushi.com/farms,ETH
UMA,WETH,14.85,9103524.84,https://app.sushi.com/farms,ETH
LINK,WETH,14.99,85698123.97,https://app.sushi.com/farms,ETH
BAND,WETH,21.61,2502671.75,https://app.sushi.com/farms,ETH
YFI,WETH,13.8,166529217.2,https://app.sushi.com/farms,ETH
SUSHI,WETH,20.68,313866690.7,https://app.sushi.com/farms,ETH
REN,WETH,20.45,6611665.66,https://app.sushi.com/farms,ETH
WETH,CRV,11.14,18202648.42,https://app.sushi.com/farms,ETH
UNI,WETH,4.77,2834024.95,https://app.sushi.com/farms,ETH
xSUSHI,WETH,16.53,26583769.53,https://app.sushi.com/farms,ETH
WBTC,WETH,8.07,443984817.1,https://app.sushi.com/farms,ETH
CREAM,WETH,22.7,1786421.65,https://app.sushi.com/farms,ETH
HEGIC,WETH,10.36,652716.1,https://app.sushi.com/farms,ETH
MKR,WETH,8.53,31713773.48,https://app.sushi.com/farms,ETH
PICKLE,WETH,25.51,264970.74,https://app.sushi.com/farms,ETH
WETH,OMG,15.17,2674230.76,https://app.sushi.com/farms,ETH
AAVE,WETH,9.74,114459499.1,https://app.sushi.com/farms,ETH
WETH,AMP,23.27,3485200.49,https://app.sushi.com/farms,ETH
WETH,RARI,15.55,1738769.83,https://app.sushi.com/farms,ETH
DPI,WETH,16.76,3630530.45,https://app.sushi.com/farms,ETH
YAM,WETH,22.8,1778739.49,https://app.sushi.com/farms,ETH
REDUCE,,NaN,0,https://app.sushi.com/farms,ETH
FARM,WETH SLP,57.62,117310.31,https://app.sushi.com/farms,ETH
DOUGH,WETH SLP,163.36,"82,761.80",https://app.sushi.com/farms,ETH
STAKE,WETH SLP,57.5,587851.4,https://app.sushi.com/farms,ETH
AKRO,WETH SLP,28.18,239896.35,https://app.sushi.com/farms,ETH
KP3R,WETH SLP,33.66,2811604.15,https://app.sushi.com/farms,ETH
WETH,SEEN SLP,9.94,680244.87,https://app.sushi.com/farms,ETH
ESD,WETH SLP,3.05,2214403.58,https://app.sushi.com/farms,ETH
