pair1,pair2,apr,tvl,where,network
WMATIC,DAI,53.84,2778476.84,https://dmm.exchange/,MATIC
WMATIC,KNC,92.26,2488542.18,https://dmm.exchange/,MATIC
USDC,USDT,14.22,33306852.32,https://dmm.exchange/,MATIC
USDC,DAI,15.42,30717118.57,https://dmm.exchange/,MATIC
USDC,WETH,28.69,28870610.39,https://dmm.exchange/,MATIC
KNC,WETH,86.03,3296286.95,https://dmm.exchange/,MATIC
DAI,,2.75,882046064.03,https://aave.com,MATIC
USDC,,2.6,996486382.01,https://aave.com,MATIC
USDT,,3.02,190200485.69,https://aave.com,MATIC
WBTC,,0.01,368690418.98,https://aave.com,MATIC
WETH,,0.13,811468008.86,https://aave.com,MATIC
WMATIC,,1.13,144637435.85,https://aave.com,MATIC
AAVE,,0,72036814.99,https://aave.com,MATIC
WMATIC,,303.26,51112,https://50cent.network,MATIC
WETH,,136936.98,113,https://50cent.network,MATIC
USDC,,309.12,50143,https://50cent.network,MATIC
50C,USDC,314662.69,493,https://50cent.network,MATIC
50C,WMATIC,1255.98,38504,https://50cent.network,MATIC
50K,USDC,4399.06,4581,https://50cent.network,MATIC
50C,,426.4,28354,https://50cent.network,MATIC
MATIC,,156.95,819438.60,https://polygon.wepiggy.com/markets,MATIC
USDC,,1062.15,892392.55,https://polygon.wepiggy.com/markets,MATIC
USDT,,890.6,1679841.84,https://polygon.wepiggy.com/markets,MATIC
DAI,,963.6,894486.09,https://polygon.wepiggy.com/markets,MATIC
WETH,,416.1,824595.88,https://polygon.wepiggy.com/markets,MATIC
WBTC,,354.05,1172738.75,https://polygon.wepiggy.com/markets,MATIC
LINK,,1503.8,42267.97,https://polygon.wepiggy.com/markets,MATIC
SUSHI,,164.25,146138.95,https://polygon.wepiggy.com/markets,MATIC
CRV,,2091.45,40151.45,https://polygon.wepiggy.com/markets,MATIC
BNB,,6270.7,870719.75,https://bsc.wepiggy.com/markets,BSC
ETH,,80.3,2255754.99,https://bsc.wepiggy.com/markets,BSC
BTCB,,105.85,2268934.32,https://bsc.wepiggy.com/markets,BSC
DAI,,2054.95,1182926.45,https://bsc.wepiggy.com/markets,BSC
USDT,,872.35,590993.37,https://bsc.wepiggy.com/markets,BSC
USDC,,1109.6,1671440.45,https://bsc.wepiggy.com/markets,BSC
BUSD,,923.45,755203.16,https://bsc.wepiggy.com/markets,BSC
DOT,,281.05,265851.13,https://bsc.wepiggy.com/markets,BSC
UNI,,156.95,293886.17,https://bsc.wepiggy.com/markets,BSC
CAKE,,6964.2,187504.81,https://bsc.wepiggy.com/markets,BSC
LTC,,1014.7,212291.91,https://bsc.wepiggy.com/markets,BSC
LINK,,3149.95,57865.43,https://bsc.wepiggy.com/markets,BSC
ADA,,69.35,395966.44,https://bsc.wepiggy.com/markets,BSC
FIL,,54.75,632195.47,https://bsc.wepiggy.com/markets,BSC
ETH,,470.85,7707696.46,https://www.wepiggy.com/markets,ETH
DAI,,854.1,1938411.40,https://www.wepiggy.com/markets,ETH
USDT,,777.45,2374205.39,https://www.wepiggy.com/markets,ETH
USDC,,759.2,3211326.63,https://www.wepiggy.com/markets,ETH
WBTC,,357.7,8999102.70,https://www.wepiggy.com/markets,ETH
UNI,,62.05,591493.71,https://www.wepiggy.com/markets,ETH
YFII,,635.1,460911.96,https://www.wepiggy.com/markets,ETH
LRC,,29.2,887665.13,https://www.wepiggy.com/markets,ETH
xLON,,3.65,1211249.53,https://www.wepiggy.com/markets,ETH
AAVE,,0,487804475.80,https://aave.com,ETH
BAL,,2.48,4680356.33,https://aave.com,ETH
BAT,,0.44,2184137.51,https://aave.com,ETH
BUSD,,2.45,10947103.84,https://aave.com,ETH
CRV,,8.58,17070318.03,https://aave.com,ETH
DAI,,2.35,1318908540.51,https://aave.com,ETH
ENJ,,0.02,13286121.36,https://aave.com,ETH
GUSD,,2.54,26582866.64,https://aave.com,ETH
KNC,,1.1,1341871.55,https://aave.com,ETH
LINK,,0.01,315991927.90,https://aave.com,ETH
MANA,,0.31,5230874.80,https://aave.com,ETH
MKR,,0,108808088.81,https://aave.com,ETH
REN,,0.14,14069470.34,https://aave.com,ETH
SNX,,5.73,15504698.25,https://aave.com,ETH
sUSD,,1.1,61471116.53,https://aave.com,ETH
TUSD,,0.96,189574759.97,https://aave.com,ETH
UNI,,0.41,60590974.97,https://aave.com,ETH
USDC,,2.23,5638171746.33,https://aave.com,ETH
USDT,,2.49,1101894698.80,https://aave.com,ETH
WBTC,,0.05,1349355345.13,https://aave.com,ETH
WETH,,0.02,3364525313.43,https://aave.com,ETH
xSUSHI,,0.17,148532036.28,https://aave.com,ETH
YFI,,0.61,48813729.10,https://aave.com,ETH
ZRX,,0.08,2167372.33,https://aave.com,ETH
WETH,BAMBOO,258.89,60638.32,https://www.bamboodefi.com,ETH
USDT,BAMBOO,408.52,38428.10,https://www.bamboodefi.com,ETH
DAI,BAMBOO,252.4,62195.70,https://www.bamboodefi.com,ETH
WBTC,BAMBOO,306.6,51202.09,https://www.bamboodefi.com,ETH
WBTC,WETH,1375.47,5135.92,https://www.bamboodefi.com,ETH
DAI,USDT,93.16,75825.77,https://www.bamboodefi.com,ETH
WETH,USDT,10.65,245608427.18,https://app.sushi.com/farms/,ETH
USDC,WETH,8.95,369670282.25,https://app.sushi.com/farms/,ETH
DAI,WETH,12.17,206125170.74,https://app.sushi.com/farms/,ETH
sUSD,WETH,14.03,9891623.72,https://app.sushi.com/farms/,ETH
COMP,WETH,7.76,22029435.32,https://app.sushi.com/farms/,ETH
SNX,WETH,26.66,12017941.42,https://app.sushi.com/farms/,ETH
UMA,WETH,11.82,9036837.81,https://app.sushi.com/farms/,ETH
LINK,WETH,13.46,75364576.56,https://app.sushi.com/farms/,ETH
BAND,WETH,20.1,2124953.00,https://app.sushi.com/farms/,ETH
YFI,WETH,12.32,143408665.46,https://app.sushi.com/farms/,ETH
SUSHI,WETH,18.77,273036610.92,https://app.sushi.com/farms/,ETH
